case,problem,cores,group,first_variant,first_call,candidate,makespan,added_bytes,scheduled_bytes,original_bytes,partition_added_bytes,spill_bytes,hit_rate,hit_bytes,active_cores,miss_bytes,eligible_bytes,effective_ddr_byte_proxy,cache_key,plan_path,result_path
case_002,3,5,validation,joint,13,v2_p3_branch_s2_cache_window,68404,580608,1804800,1224192,580608,0,0.0,0,5,1512960,1512960,1804800,ccb48fa881dd008c96997b5da55fa5877348c20e3db1321123c36266b9d085d3,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p3_n5/joint/evaluations/attempts/20260926T003018-eb74cb5b10024d80bda5ef5371ed9229/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p3_n5/joint/evaluations/attempts/20260926T003018-eb74cb5b10024d80bda5ef5371ed9229/official_result.json.gz
case_002,3,5,validation,strong,1,wcc_start0_simple_a1_per_core_lpt_mv,261945,0,1224192,1224192,0,0,0.0,0,1,1222656,1222656,1224192,fa0a04b744d6ab7e6ea1b80b9277eafdf730bdb3fdcae8920889e6ce2060f182,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p3_n5/strong/prefix/evaluations/attempts/20260926T001748-42ae014689a84bc7b203a44ccc3af78e/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p3_n5/strong/prefix/evaluations/attempts/20260926T001748-42ae014689a84bc7b203a44ccc3af78e/official_result.json.gz
case_006,1,5,development,strong,10,p1_joint_r0_tensor_cap0.25_eft_merge8,25366,491636,1034984,543348,491636,0,,0,5,,,1034984,60179c45b6b735b3fce41fdda1abbc1f73c36a031706dc3a78f62b807581ff4c,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_006/p1_n5/strong/prefix/evaluations/attempts/20260926T001047-e8447ecf322a42499ce4c957a723ada7/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_006/p1_n5/strong/prefix/evaluations/attempts/20260926T001047-e8447ecf322a42499ce4c957a723ada7/official_result.json.gz
case_006,1,5,development,strong,5,tensor4096_cheap256_active5,26434,383348,926696,543348,383348,0,,0,5,,,926696,8b1f0692055f1479eefa63d3153eaf831824625a8026fd1c10f83bc438ae4c36,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_006/p1_n5/strong/prefix/evaluations/attempts/20260926T001045-63ddf8db22734032b17b823ea843eacc/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_006/p1_n5/strong/prefix/evaluations/attempts/20260926T001045-63ddf8db22734032b17b823ea843eacc/official_result.json.gz
case_006,1,5,development,strong,4,selective_whole_critical_path_x1_a3_eft,31151,91264,634612,543348,91264,0,,0,3,,,634612,3aba4811f79d6f4e1d6c5984d7220ad69c64d2dc1e44e747fa86a6e22aa2db77,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_006/p1_n5/strong/prefix/evaluations/attempts/20260926T001044-33b7af08690d415991727051a30b53f1/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_006/p1_n5/strong/prefix/evaluations/attempts/20260926T001044-33b7af08690d415991727051a30b53f1/official_result.json.gz
case_006,1,5,development,strong,2,wcc_task_5_mv_complement_batch2,31729,30080,573428,543348,30080,0,,0,5,,,573428,17dba2556ea123d3eef91d7a879c185422889a16427b5c06e8b679bbb3520f2b,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_006/p1_n5/strong/prefix/evaluations/attempts/20260926T001044-e259dcebc22947cc83eb6d10819dad59/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_006/p1_n5/strong/prefix/evaluations/attempts/20260926T001044-e259dcebc22947cc83eb6d10819dad59/official_result.json.gz
case_006,2,5,development,joint,3,wcc_protected_interleave_v2_reencode_control,31729,63616,606964,543348,63616,0,,0,5,,,606964,1a5916f4ed854a7d888e211b1d4cfd65579d761649496669c2fe64ecae674520,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_006/p2_n5/joint/prefix/evaluations/attempts/20260926T001307-f7d21da6ba6647a68d70f46bbeaf437f/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_006/p2_n5/joint/prefix/evaluations/attempts/20260926T001307-f7d21da6ba6647a68d70f46bbeaf437f/official_result.json.gz
case_006,2,5,development,joint,2,whole_graph_single_active,82837,16400,559748,543348,0,16400,,0,1,,,559748,c893c280be2e774c118817c06a0dd87690489c63285abf8faab87eeb215c0e90,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_006/p2_n5/joint/prefix/evaluations/attempts/20260926T001307-c4d508c28e5346e6ab9d2b61ff52f4f7/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_006/p2_n5/joint/prefix/evaluations/attempts/20260926T001307-c4d508c28e5346e6ab9d2b61ff52f4f7/official_result.json.gz
case_006,3,5,development,joint,3,wcc_protected_interleave_v2_reencode_control,31729,63616,606964,543348,63616,0,0.0896388083311363,54400,5,552480,606880,552564,f2563727ffd27b336acdf8252fd68fae8f91a8d47be9bafe91712bc42683f7d0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_006/p3_n5/joint/prefix/evaluations/attempts/20260926T001004-9197b400229440439723163284e249df/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_006/p3_n5/joint/prefix/evaluations/attempts/20260926T001004-9197b400229440439723163284e249df/official_result.json.gz
case_006,3,5,development,joint,2,whole_graph_single_active,82837,16400,559748,543348,0,16400,0.029275126148920052,16384,1,543272,559656,543364,bff969dc9b6f6f4c3f5fe151727c3060c614ec99b1209f216a95b3415a2842c7,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_006/p3_n5/joint/prefix/evaluations/attempts/20260926T001004-0bbe562c29934086843d265dc4ac7440/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_006/p3_n5/joint/prefix/evaluations/attempts/20260926T001004-0bbe562c29934086843d265dc4ac7440/official_result.json.gz
case_009,1,2,lowcore,strong,14,p1_joint_r0_phase16_eft_raw,89561,400018,895350,495332,400018,0,,0,2,,,895350,adba864373d79924a9beeb2ad4cf6cd7c4e8d55d101ff252cc5ebbf1b00878a2,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n2/strong/prefix/evaluations/attempts/20260926T001521-5c0fb74ceb9f4ceb8f5d3c2a0ba4413c/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n2/strong/prefix/evaluations/attempts/20260926T001521-5c0fb74ceb9f4ceb8f5d3c2a0ba4413c/official_result.json.gz
case_009,1,2,lowcore,strong,13,merge256,91658,36074,531406,495332,36074,0,,0,2,,,531406,5756a290c7af7d4a39d5f7f5f2bc58b22ecf00c73fe85f252ad965a9edf16790,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n2/strong/prefix/evaluations/attempts/20260926T001517-144c1a865fac49eabb5148d3f08c7c36/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n2/strong/prefix/evaluations/attempts/20260926T001517-144c1a865fac49eabb5148d3f08c7c36/official_result.json.gz
case_009,1,2,lowcore,strong,1,wcc_start0_simple_a2_per_core_lpt_mv,92198,0,495332,495332,0,0,,0,2,,,495332,6e26cc2babcb4bf9f761d00054ca46f3885cbfccee82be61150aaadb0653055b,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n2/strong/prefix/evaluations/attempts/20260926T001421-610c1fc8c03d45bab9eb20c95c386c8f/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n2/strong/prefix/evaluations/attempts/20260926T001421-610c1fc8c03d45bab9eb20c95c386c8f/official_result.json.gz
case_009,1,3,lowcore,strong,15,p1_joint_r0_phase2_eft_merge8,86698,283696,779028,495332,283696,0,,0,3,,,779028,8d4550a785ff78d2ff1e30138c306f251fa7fe9c0b027ee46ad29249fe3116f0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n3/strong/prefix/evaluations/attempts/20260926T002737-52a1f7821e7347c69850247c5d53cc23/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n3/strong/prefix/evaluations/attempts/20260926T002737-52a1f7821e7347c69850247c5d53cc23/official_result.json.gz
case_009,1,3,lowcore,joint,9,p1_joint_r0_phase8_eft_raw,86763,235148,730480,495332,235148,0,,0,3,,,730480,bf9106cb1404827f7d670a1c8f13f60f5d640c6f087a0be76c11133e6cb43263,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n3/joint/prefix/evaluations/attempts/20260926T001312-98ce05d6f81c4a8096ea18a370ee7a23/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n3/joint/prefix/evaluations/attempts/20260926T001312-98ce05d6f81c4a8096ea18a370ee7a23/official_result.json.gz
case_009,1,3,lowcore,joint,7,p1_joint_r0_phase4_eft_merge8,91779,74850,570182,495332,74850,0,,0,3,,,570182,6ce1afea1a4e34cc24d678a4e846c251e1ecee34b9707b91a5d3779290651539,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n3/joint/prefix/evaluations/attempts/20260926T001304-7f54fda113124a4da091e2c9c0ade4d0/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n3/joint/prefix/evaluations/attempts/20260926T001304-7f54fda113124a4da091e2c9c0ade4d0/official_result.json.gz
case_009,1,3,lowcore,joint,5,merge256,92198,24576,519908,495332,24576,0,,0,2,,,519908,35187e737beaec4530e9d0702c6933c642cc5988ff46dedb21725e6c59db24e5,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n3/joint/prefix/evaluations/attempts/20260926T001250-70a6223343134fb98c5dcee1daa3c4b5/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n3/joint/prefix/evaluations/attempts/20260926T001250-70a6223343134fb98c5dcee1daa3c4b5/official_result.json.gz
case_009,1,4,lowcore,strong,14,local_duration,84913,235116,730448,495332,235116,0,,0,4,,,730448,8acdb54966c993cd6205c458983b0bd7dd0210480899e561d82666df06355a02,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n4/strong/prefix/evaluations/attempts/20260926T002638-ccce249dc87e46b4a13149d07eaa8c4e/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n4/strong/prefix/evaluations/attempts/20260926T002638-ccce249dc87e46b4a13149d07eaa8c4e/official_result.json.gz
case_009,1,4,lowcore,joint,7,p1_joint_r0_phase4_eft_merge8,91784,74850,570182,495332,74850,0,,0,4,,,570182,e259ed3305ce63cc6031d6ee4a97aa70feb32cba14b3d5e16afc653dd6803113,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n4/joint/prefix/evaluations/attempts/20260926T001525-5f7f8e4d413d47e693225d07fa074723/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n4/joint/prefix/evaluations/attempts/20260926T001525-5f7f8e4d413d47e693225d07fa074723/official_result.json.gz
case_009,1,4,lowcore,joint,5,merge256,92198,24576,519908,495332,24576,0,,0,2,,,519908,19d39d7737c4e8520e0450198ade3f4e3735dd3384dbe942842acda173ac9ac1,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n4/joint/prefix/evaluations/attempts/20260926T001511-97232b39a8674418a7d58bf313809383/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n4/joint/prefix/evaluations/attempts/20260926T001511-97232b39a8674418a7d58bf313809383/official_result.json.gz
case_009,1,5,development,joint,15,p1_joint_r0_phase4_eft_raw,81267,532516,1027848,495332,532516,0,,0,5,,,1027848,e659450dc94f1a9f572475e8dca87859fac65c45c090c7df0d9e48e4b03d4a49,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_009/p1_n5/joint/evaluations/attempts/20260926T001030-81fe63032d864f33985130b51da458bc/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_009/p1_n5/joint/evaluations/attempts/20260926T001030-81fe63032d864f33985130b51da458bc/official_result.json.gz
case_009,1,5,development,joint,12,selective_phase_band_critical_path_x2_a5_eft,83830,447056,942388,495332,447056,0,,0,5,,,942388,c7c53d283afec7aef6270208623a7a023d03dfee381b1b81bc1daf3b29a450cf,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_009/p1_n5/joint/prefix/evaluations/attempts/20260926T001018-dba6e84405cd4573ac3fcb14f061a2b6/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_009/p1_n5/joint/prefix/evaluations/attempts/20260926T001018-dba6e84405cd4573ac3fcb14f061a2b6/official_result.json.gz
case_009,1,5,development,joint,10,local_duration,84706,242996,738328,495332,242996,0,,0,5,,,738328,f5c1bd0c8a7bac05a79cdba1d359b63d762f8319db96a7f847805904c4d872de,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_009/p1_n5/joint/prefix/evaluations/attempts/20260926T001013-80b67c240b414d51abb3f4f5a718dbcd/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_009/p1_n5/joint/prefix/evaluations/attempts/20260926T001013-80b67c240b414d51abb3f4f5a718dbcd/official_result.json.gz
case_009,1,5,development,joint,5,merge256,92207,24576,519908,495332,24576,0,,0,3,,,519908,5e09cfce473f31ca6cdb67763c0132008f2f8c2576940e27a649e5125b58d4d8,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_009/p1_n5/joint/prefix/evaluations/attempts/20260926T000949-78caef885a064e14b001f08bcdbe1681/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_009/p1_n5/joint/prefix/evaluations/attempts/20260926T000949-78caef885a064e14b001f08bcdbe1681/official_result.json.gz
case_009,2,2,lowcore,joint,5,wcc_unrestricted_interleave_w2_base_earliest_start,80734,0,495332,495332,0,0,,0,2,,,495332,0dd1b979b09754e3c60cfb80a2973d0c327665254e814a6f418e232d1d574c82,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p2_n2/joint/prefix/evaluations/attempts/20260926T001016-e3160bcc8b20465e9028b5cd2a29138b/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p2_n2/joint/prefix/evaluations/attempts/20260926T001016-e3160bcc8b20465e9028b5cd2a29138b/official_result.json.gz
case_009,2,3,lowcore,joint,13,v2_p2_affinity_s2_residency,81783,268072,763404,495332,268072,0,,0,3,,,763404,a6e9f6ec62ecc7a84e40131e79dcce540ccd525bb79f37f7113d86b2fbbc8e1b,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p2_n3/joint/evaluations/attempts/20260926T002716-3f1115321e2f4eba8a105071e313227e/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p2_n3/joint/evaluations/attempts/20260926T002716-3f1115321e2f4eba8a105071e313227e/official_result.json.gz
case_009,2,3,lowcore,strong,8,trace_r00_01_compute_dependency_tail,85607,24576,519908,495332,24576,0,,0,3,,,519908,615d1a1476e8ee856f34892beb4a60fe61442bc769922cdae5302abacf90bd0d,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p2_n3/strong/prefix/evaluations/attempts/20260926T001354-6999cea1353b4a8cbbad3ac7b7edd3bf/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p2_n3/strong/prefix/evaluations/attempts/20260926T001354-6999cea1353b4a8cbbad3ac7b7edd3bf/official_result.json.gz
case_009,2,3,lowcore,strong,2,whole_graph_single_active,153261,0,495332,495332,0,0,,0,1,,,495332,cc6e31344eb4cbb2597b71477c52dd87e259018a3b91cec0c18c4aa37282a442,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p2_n3/strong/prefix/evaluations/attempts/20260926T001342-e14132620d934d14bec781360acb81e7/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p2_n3/strong/prefix/evaluations/attempts/20260926T001342-e14132620d934d14bec781360acb81e7/official_result.json.gz
case_009,2,4,lowcore,joint,15,lifetime_w8_b0.5,61588,1352596,1847928,495332,1352596,0,,0,4,,,1847928,8bdd2dc9ab4e2c550a550bb404f8d13dd5e45c1b7975e77221a1be242967a2e4,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p2_n4/joint/evaluations/attempts/20260926T001201-12adeffd74d745e199a41965ae9af579/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p2_n4/joint/evaluations/attempts/20260926T001201-12adeffd74d745e199a41965ae9af579/official_result.json.gz
