case,problem,method,call,family,parent_record,parent_span,best_before,alternative_parent,strictly_worse_parent,status,time_improved,span
case_046,3,wide_legacy,11,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p3_n5/wide_legacy/evaluations/attempts/20260925T192623-96cd579e20674c81a28e7b018bab4368/record.json,77846,77846,False,False,success,False,79056
case_046,3,wide_legacy,12,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p3_n5/wide_legacy/evaluations/attempts/20260925T192623-96cd579e20674c81a28e7b018bab4368/record.json,77846,77846,False,False,success,False,77846
case_046,2,wide_legacy,7,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p2_n5/wide_legacy/evaluations/attempts/20260925T192624-5ca81e25951b48748ada90d665327be7/record.json,93013,93013,False,False,success,False,94086
case_046,2,wide_legacy,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p2_n5/wide_legacy/evaluations/attempts/20260925T192624-5ca81e25951b48748ada90d665327be7/record.json,93013,93013,False,False,success,False,131039
case_046,2,wide_legacy,9,structure,,,93013,False,False,success,False,124612
case_046,2,wide_legacy,10,structure_pair,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p2_n5/wide_legacy/evaluations/attempts/20260925T192625-b03a7133c62e4657a4e2f28bb7a35964/record.json,124612,93013,True,True,success,True,77846
case_046,2,wide_legacy,11,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p2_n5/wide_legacy/evaluations/attempts/20260925T192625-18d746f32bc84eb8b6fc0c2bc9b7e534/record.json,77846,77846,False,False,success,False,79056
case_046,2,wide_legacy,12,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p2_n5/wide_legacy/evaluations/attempts/20260925T192625-18d746f32bc84eb8b6fc0c2bc9b7e534/record.json,77846,77846,False,False,success,False,124612
case_018,2,budget_greedy,7,structure,,,197769,False,False,success,False,214779
case_018,2,budget_greedy,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p2_n5/budget_greedy/evaluations/attempts/20260925T192620-94f2ebf43e15479e8a4107e38f00d398/record.json,197769,197769,False,False,success,False,387607
case_018,2,budget_greedy,9,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p2_n5/budget_greedy/evaluations/attempts/20260925T192620-94f2ebf43e15479e8a4107e38f00d398/record.json,197769,197769,False,False,success,True,197737
case_018,2,budget_greedy,10,structure,,,197737,False,False,success,False,219420
case_018,2,budget_greedy,11,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p2_n5/budget_greedy/evaluations/attempts/20260925T192625-8afb45e54fe64105841816a6220addb7/record.json,197737,197737,False,False,success,False,197737
case_018,2,budget_greedy,12,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p2_n5/budget_greedy/evaluations/attempts/20260925T192625-8afb45e54fe64105841816a6220addb7/record.json,197737,197737,False,False,success,False,197737
case_018,2,wide_legacy,7,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p2_n5/wide_legacy/evaluations/attempts/20260925T192629-1ff0503b6b0d4c658a8a2d3cc61624f0/record.json,197769,197769,False,False,success,False,387607
case_018,2,wide_legacy,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p2_n5/wide_legacy/evaluations/attempts/20260925T192629-1ff0503b6b0d4c658a8a2d3cc61624f0/record.json,197769,197769,False,False,success,False,226099
case_018,2,wide_legacy,9,structure,,,197769,False,False,success,False,214779
case_018,2,wide_legacy,10,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p2_n5/wide_legacy/evaluations/attempts/20260925T192629-1ff0503b6b0d4c658a8a2d3cc61624f0/record.json,197769,197769,False,False,success,False,385085
case_018,2,wide_legacy,11,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p2_n5/wide_legacy/evaluations/attempts/20260925T192629-1ff0503b6b0d4c658a8a2d3cc61624f0/record.json,197769,197769,False,False,success,False,209182
case_018,2,wide_legacy,12,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p2_n5/wide_legacy/evaluations/attempts/20260925T192629-1ff0503b6b0d4c658a8a2d3cc61624f0/record.json,197769,197769,False,False,success,False,387463
case_083,2,budget_beam,7,structure_pair,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p2_n5/budget_beam/evaluations/attempts/20260925T192627-30b194b6bc4544d9a6a1c023f0f4c190/record.json,442480,309183,True,True,success,True,184594
case_083,2,budget_beam,8,structure,,,184594,False,False,success,False,442480
case_083,2,budget_beam,9,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p2_n5/budget_beam/evaluations/attempts/20260925T192630-17e2ff5c4aeb49f4bd260478e29556ea/record.json,184594,184594,False,False,success,False,338352
case_083,2,budget_beam,10,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p2_n5/budget_beam/evaluations/attempts/20260925T192630-17e2ff5c4aeb49f4bd260478e29556ea/record.json,184594,184594,False,False,success,False,184594
case_083,2,budget_beam,11,structure,,,184594,False,False,success,False,450029
case_083,2,budget_beam,12,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p2_n5/budget_beam/evaluations/attempts/20260925T192633-3b2d8614447240ae852e8b3875d0abc4/record.json,184594,184594,True,False,success,True,183856
case_018,3,local_legacy,7,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p3_n5/local_legacy/evaluations/attempts/20260925T192635-1a977d05c5774431ba171f02a6da0926/record.json,196701,196701,False,False,success,False,387406
case_018,3,local_legacy,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p3_n5/local_legacy/evaluations/attempts/20260925T192635-1a977d05c5774431ba171f02a6da0926/record.json,196701,196701,False,False,success,False,196701
case_018,3,local_legacy,9,structure,,,196701,False,False,success,False,213224
case_018,3,local_legacy,10,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p3_n5/local_legacy/evaluations/attempts/20260925T192637-b7736a51ace145b1b88c8c7ff8177965/record.json,196701,196701,False,False,success,False,196701
case_018,3,local_legacy,11,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p3_n5/local_legacy/evaluations/attempts/20260925T192637-b7736a51ace145b1b88c8c7ff8177965/record.json,196701,196701,False,False,success,False,196701
case_018,3,local_legacy,12,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p3_n5/local_legacy/evaluations/attempts/20260925T192637-b7736a51ace145b1b88c8c7ff8177965/record.json,196701,196701,False,False,success,False,223662
case_083,3,wide_legacy,7,structure_pair,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p3_n5/wide_legacy/evaluations/attempts/20260925T192635-dd30aa22fc21481b81668079ab392c9d/record.json,310731,256114,True,True,success,True,184594
case_083,3,wide_legacy,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p3_n5/wide_legacy/evaluations/attempts/20260925T192638-519d3dbe7fe547dd9c2375ceabdc5ed4/record.json,184594,184594,False,False,success,False,338352
case_083,3,wide_legacy,9,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p3_n5/wide_legacy/evaluations/attempts/20260925T192638-519d3dbe7fe547dd9c2375ceabdc5ed4/record.json,184594,184594,False,False,success,False,184594
case_083,3,wide_legacy,10,structure,,,184594,False,False,success,False,310731
case_083,3,wide_legacy,11,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p3_n5/wide_legacy/evaluations/attempts/20260925T192638-519d3dbe7fe547dd9c2375ceabdc5ed4/record.json,184594,184594,False,False,success,False,185285
case_083,3,wide_legacy,12,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p3_n5/wide_legacy/evaluations/attempts/20260925T192638-519d3dbe7fe547dd9c2375ceabdc5ed4/record.json,184594,184594,False,False,success,False,184594
case_083,2,local_legacy,7,structure_pair,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p2_n5/local_legacy/evaluations/attempts/20260925T192640-6fffe3675bcd461a8617513bb0356227/record.json,442480,309183,True,True,success,True,184594
case_083,2,local_legacy,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p2_n5/local_legacy/evaluations/attempts/20260925T192644-30475d3b483848ec9d2acd9f1b18f117/record.json,184594,184594,False,False,success,False,338352
case_083,2,local_legacy,9,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p2_n5/local_legacy/evaluations/attempts/20260925T192644-30475d3b483848ec9d2acd9f1b18f117/record.json,184594,184594,False,False,success,False,185285
case_083,2,local_legacy,10,structure,,,184594,False,False,success,False,442480
case_083,2,local_legacy,11,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p2_n5/local_legacy/evaluations/attempts/20260925T192644-30475d3b483848ec9d2acd9f1b18f117/record.json,184594,184594,False,False,success,False,335284
case_083,2,local_legacy,12,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p2_n5/local_legacy/evaluations/attempts/20260925T192644-30475d3b483848ec9d2acd9f1b18f117/record.json,184594,184594,False,False,success,False,442480
case_083,3,budget_beam,7,structure_pair,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p3_n5/budget_beam/evaluations/attempts/20260925T192642-5a408a09a7a445c09e3b96b22da398cd/record.json,310731,256114,True,True,success,True,184594
case_083,3,budget_beam,8,structure,,,184594,False,False,success,False,310731
case_083,3,budget_beam,9,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p3_n5/budget_beam/evaluations/attempts/20260925T192645-9b0f27f8cf6d47f59c344e86540bb509/record.json,184594,184594,False,False,success,False,338352
case_083,3,budget_beam,10,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p3_n5/budget_beam/evaluations/attempts/20260925T192645-9b0f27f8cf6d47f59c344e86540bb509/record.json,184594,184594,False,False,success,False,184594
case_083,3,budget_beam,11,structure,,,184594,False,False,success,False,333151
case_083,3,budget_beam,12,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p3_n5/budget_beam/evaluations/attempts/20260925T192645-9b0f27f8cf6d47f59c344e86540bb509/record.json,184594,184594,False,False,success,True,183787
case_046,3,budget_beam,7,structure,,,92391,False,False,success,False,105932
case_046,3,budget_beam,8,structure_pair,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p3_n5/budget_beam/evaluations/attempts/20260925T192651-d9f854296a3f4eafa6321319b2f4048b/record.json,105932,92391,True,True,success,True,77846
case_046,3,budget_beam,9,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p3_n5/budget_beam/evaluations/attempts/20260925T192651-f04fd45bc39c448896777ad37a22a6d2/record.json,77846,77846,False,False,success,False,79056
case_046,3,budget_beam,10,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p3_n5/budget_beam/evaluations/attempts/20260925T192652-1333b77ca5e44b518511eae4fb3ed926/record.json,79056,77846,True,True,success,False,79056
case_046,3,budget_beam,11,structure,,,77846,False,False,success,False,121494
case_046,3,budget_beam,12,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p3_n5/budget_beam/evaluations/attempts/20260925T192652-259bedd50fa443dda0f5fdc717395ec3/record.json,79056,77846,True,True,success,False,93464
case_046,2,local_legacy,7,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p2_n5/local_legacy/evaluations/attempts/20260925T192653-4356a282fa504f9a9e78b1578245c2c5/record.json,93013,93013,False,False,success,False,94086
case_046,2,local_legacy,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p2_n5/local_legacy/evaluations/attempts/20260925T192653-4356a282fa504f9a9e78b1578245c2c5/record.json,93013,93013,False,False,success,False,131039
case_046,2,local_legacy,9,structure,,,93013,False,False,success,False,124612
case_046,2,local_legacy,10,structure_pair,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p2_n5/local_legacy/evaluations/attempts/20260925T192654-25c5d5a3a62d4344b2067dc4318b5e86/record.json,124612,93013,True,True,success,True,77846
case_046,2,local_legacy,11,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p2_n5/local_legacy/evaluations/attempts/20260925T192654-d3c6f1c784544b5798603de9de75ca24/record.json,77846,77846,False,False,success,False,79056
case_046,2,local_legacy,12,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p2_n5/local_legacy/evaluations/attempts/20260925T192654-d3c6f1c784544b5798603de9de75ca24/record.json,77846,77846,False,False,success,False,124612
case_018,2,budget_beam,7,structure,,,197769,False,False,success,False,214779
case_018,2,budget_beam,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p2_n5/budget_beam/evaluations/attempts/20260925T192649-a70eb32733964d3085a4f1039a6a59c7/record.json,197769,197769,False,False,success,False,387607
case_018,2,budget_beam,9,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p2_n5/budget_beam/evaluations/attempts/20260925T192648-9ab7634c13c64ebcab2ce7cc166c4d9a/record.json,203434,197769,True,True,success,False,203155
case_018,2,budget_beam,10,structure,,,197769,False,False,success,False,219420
case_018,2,budget_beam,11,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p2_n5/budget_beam/evaluations/attempts/20260925T192653-b756d20b184e43f2b4719182d0b27e0d/record.json,203155,197769,True,True,success,False,203155
case_018,2,budget_beam,12,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p2_n5/budget_beam/evaluations/attempts/20260925T192654-1a8905720ba444af8dba6a751aa24aba/record.json,203155,197769,True,True,success,False,203155
case_031,3,local_legacy,7,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_031/p3_n5/local_legacy/evaluations/attempts/20260925T192700-8ff6633535d84defb45d35d4f03c9389/record.json,276214,276214,False,False,success,False,277981
case_031,3,local_legacy,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_031/p3_n5/local_legacy/evaluations/attempts/20260925T192700-8ff6633535d84defb45d35d4f03c9389/record.json,276214,276214,False,False,success,True,276203
case_031,3,local_legacy,9,structure,,,276203,False,False,success,False,310652
case_031,3,local_legacy,10,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_031/p3_n5/local_legacy/evaluations/attempts/20260925T192706-2a16ec49a7ca4776b98e8024123f48c9/record.json,276203,276203,False,False,success,False,277511
case_031,3,local_legacy,11,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_031/p3_n5/local_legacy/evaluations/attempts/20260925T192706-2a16ec49a7ca4776b98e8024123f48c9/record.json,276203,276203,False,False,success,False,276360
case_031,3,local_legacy,12,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_031/p3_n5/local_legacy/evaluations/attempts/20260925T192706-2a16ec49a7ca4776b98e8024123f48c9/record.json,276203,276203,False,False,success,False,367414
case_018,3,budget_greedy,7,structure,,,196701,False,False,success,False,213224
case_018,3,budget_greedy,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p3_n5/budget_greedy/evaluations/attempts/20260925T192709-559f99fd9df64071b6db98750725a8a6/record.json,196701,196701,False,False,success,False,387406
case_018,3,budget_greedy,9,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p3_n5/budget_greedy/evaluations/attempts/20260925T192709-559f99fd9df64071b6db98750725a8a6/record.json,196701,196701,False,False,success,False,196701
case_018,3,budget_greedy,10,structure,,,196701,False,False,success,False,217834
case_018,3,budget_greedy,11,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p3_n5/budget_greedy/evaluations/attempts/20260925T192714-09c86ec0b89e4df7a62622cb13942a5e/record.json,196701,196701,False,False,success,False,196701
case_018,3,budget_greedy,12,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p3_n5/budget_greedy/evaluations/attempts/20260925T192714-09c86ec0b89e4df7a62622cb13942a5e/record.json,196701,196701,False,False,success,False,197737
case_083,3,local_legacy,7,structure_pair,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p3_n5/local_legacy/evaluations/attempts/20260925T192716-587b2aff406f4a4092c8a461be670f41/record.json,310731,256114,True,True,success,True,184594
case_083,3,local_legacy,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p3_n5/local_legacy/evaluations/attempts/20260925T192719-189780739e354bbb838e7a96bbcc45fe/record.json,184594,184594,False,False,success,False,338352
case_083,3,local_legacy,9,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p3_n5/local_legacy/evaluations/attempts/20260925T192719-189780739e354bbb838e7a96bbcc45fe/record.json,184594,184594,False,False,success,False,184594
case_083,3,local_legacy,10,structure,,,184594,False,False,success,False,310731
case_083,3,local_legacy,11,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p3_n5/local_legacy/evaluations/attempts/20260925T192719-189780739e354bbb838e7a96bbcc45fe/record.json,184594,184594,False,False,success,False,185285
case_083,3,local_legacy,12,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p3_n5/local_legacy/evaluations/attempts/20260925T192719-189780739e354bbb838e7a96bbcc45fe/record.json,184594,184594,False,False,success,False,184594
case_083,3,budget_greedy,7,structure_pair,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p3_n5/budget_greedy/evaluations/attempts/20260925T192723-1f16f4ebfd444742a9bfa596f8ae623b/record.json,310731,256114,True,True,success,True,184594
case_083,3,budget_greedy,8,structure,,,184594,False,False,success,False,310731
case_083,3,budget_greedy,9,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p3_n5/budget_greedy/evaluations/attempts/20260925T192726-cbc28a7df7b6468b8c192dd32769df1e/record.json,184594,184594,False,False,success,False,338352
