case,problem,cores,before,after,before_copy_bytes,after_copy_bytes,reduction_pct,original_singlecore,plan,official_record,official_result
case_046,3,5,73405,58678,2582304,2582304,20.062666030924326,276455,方案/p3/n5/case_046_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180353-bc441b98ee69411ca03e534288431a37/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180353-bc441b98ee69411ca03e534288431a37/official_result.json.gz
case_060,2,3,298513,298064,1904640,1913856,0.1504122098535121,888789,方案/p2/n3/case_060_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180349-3d5226141b2e489f8f47a871f588cec0/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180349-3d5226141b2e489f8f47a871f588cec0/official_result.json.gz
case_060,2,4,228155,225360,3979520,3954944,1.2250443777256703,888789,方案/p2/n4/case_060_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180349-e95956a7a88d4bccbfeeb245d822b8f4/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180349-e95956a7a88d4bccbfeeb245d822b8f4/official_result.json.gz
case_060,2,5,164455,161681,3644800,3521920,1.68678361861907,888789,方案/p2/n5/case_060_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175916-9e5d19c27aec4bfd94d7ba7ecb44cbb7/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175916-9e5d19c27aec4bfd94d7ba7ecb44cbb7/official_result.json.gz
case_060,3,3,298485,297940,1904640,1913856,0.18258873980266932,888789,方案/p3/n3/case_060_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180251-28b280736eaa403ca73a634b956849ea/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180251-28b280736eaa403ca73a634b956849ea/official_result.json.gz
case_060,3,4,226610,225156,3979520,3954944,0.6416309959842881,888789,方案/p3/n4/case_060_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180255-7145d438a9604663a003c367e47d1ec6/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180255-7145d438a9604663a003c367e47d1ec6/official_result.json.gz
case_060,3,5,160258,153683,3644800,3508608,4.102759300627734,888789,方案/p3/n5/case_060_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175928-bef67b732de14d0d912bbbdbe6422335/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175928-bef67b732de14d0d912bbbdbe6422335/official_result.json.gz
case_066,1,3,234251,160671,1119442,3191810,31.410751715040707,359070,方案/p1/n3/case_066_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180220-096ee4d6d8f646ae9a5764cf8664ed27/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180220-096ee4d6d8f646ae9a5764cf8664ed27/official_result.json.gz
case_066,1,4,203497,134704,1859170,3435846,33.80541236480145,359070,方案/p1/n4/case_066_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180220-decba5866ce8425daf18b288f85a2790/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180220-decba5866ce8425daf18b288f85a2790/official_result.json.gz
case_066,1,5,199028,125828,2217964,4268418,36.778744699238295,359070,方案/p1/n5/case_066_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175706-1b3ea2493cf4405ab6803a43a5657384/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175706-1b3ea2493cf4405ab6803a43a5657384/official_result.json.gz
case_071,1,5,11491,9628,230346,301972,16.212688190757984,18919,方案/p1/n5/case_071_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175723-f467c960bd3e4f46b52135c6ef8d1e6b/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175723-f467c960bd3e4f46b52135c6ef8d1e6b/official_result.json.gz
case_074,2,5,331744,327346,5619712,5636096,1.3257210379087447,1682239,方案/p2/n5/case_074_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175927-a1dff318e5e946b5908c8d58769565df/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175927-a1dff318e5e946b5908c8d58769565df/official_result.json.gz
case_074,3,5,326680,324857,7634944,5636096,0.5580384474103139,1682239,方案/p3/n5/case_074_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180134-2bc54c80486741678c0f373d5bc99e44/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180134-2bc54c80486741678c0f373d5bc99e44/official_result.json.gz
case_083,2,5,184594,174587,3721600,3768704,5.421086275826948,1057993,方案/p2/n5/case_083_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175935-ed283bc2ff9b48df97e14622692f4032/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175935-ed283bc2ff9b48df97e14622692f4032/official_result.json.gz
case_083,3,5,184594,171099,3721600,3754368,7.310638482290866,1057993,方案/p3/n5/case_083_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175938-66bab622588e4499bacd651d859f5728/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175938-66bab622588e4499bacd651d859f5728/official_result.json.gz
case_090,2,3,320550,317582,6061440,5976960,0.925908594603031,1178363,方案/p2/n3/case_090_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180258-7fd2f8f690f847b9bd8183989534f4f0/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180258-7fd2f8f690f847b9bd8183989534f4f0/official_result.json.gz
case_090,2,4,290083,285675,7972848,7641072,1.5195650899914814,1178363,方案/p2/n4/case_090_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180304-f6cdbd1317ce492382e0bce64e943dee/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180304-f6cdbd1317ce492382e0bce64e943dee/official_result.json.gz
case_090,2,5,260978,240698,8593920,7443456,7.770769949957468,1178363,方案/p2/n5/case_090_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175939-ccfa7154e3a04de6ac5022be0d595869/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175939-ccfa7154e3a04de6ac5022be0d595869/official_result.json.gz
case_090,3,4,256211,255669,7972848,7641072,0.2115443911463566,1178363,方案/p3/n4/case_090_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180350-4739df89360a4ce0bb3b2f986348ace5/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180350-4739df89360a4ce0bb3b2f986348ace5/official_result.json.gz
case_090,3,5,194679,194679,8593920,7936512,0.0,1178363,方案/p3/n5/case_090_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175625-bccd942285e041a3aab23625b8937777/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175625-bccd942285e041a3aab23625b8937777/official_result.json.gz
