case,singlecore,control,best_new,selected,candidate_count,control_source,singlecore_source,selected_name,selected_plan_sha256,bare_time_over_control,retained_time_over_control,official_control_speedup,official_bare_speedup,official_retained_speedup
case_031,1414369,306213,383247,306213,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_031/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_031/singlecore.json,saved_wcc_control,e3c543b0b09ecf8423eb45f1609e928ca0c57c21fe4267a5836f5a5e123e941f,1.25156998559826,1.0,4.618905794332703,3.6904894232701104,4.618905794332703
case_032,41443,10414,17776,10414,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_032/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_032/singlecore.json,saved_wcc_control,4497dd9004311c0014805e2df116f1e8568a4852e655f73c2526a6c838e16f2e,1.7069329748415594,1.0,3.9795467639715767,2.331401890189019,3.9795467639715767
case_033,1774196,373638,512663,373638,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_033/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_033/singlecore.json,saved_wcc_control,61914f314800b62be57c3228e095fb826e1450c41aecf1f39599a92bd18d34a9,1.372084745127637,1.0,4.748435651620017,3.4607451678783137,4.748435651620017
case_034,842996,175027,366346,175027,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_034/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_034/singlecore.json,saved_wcc_control,9ebc803ceec80dc8e60affffbfff005384ee6e26614ef875f8fb4be45df649ea,2.093082781513709,1.0,4.816376901849429,2.301092409907574,4.816376901849429
case_035,169571,95406,80362,80362,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_035/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_035/singlecore.json,op_stable_id_w200,fb383bb7245dbadea861156bdca8900c94840279cb41493108759e55384ab398,0.8423159968974697,0.8423159968974697,1.7773620107750037,2.110089345710659,2.110089345710659
case_036,931510,187182,187182,187182,5,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_036/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_036/singlecore.json,saved_wcc_control,a8ec22794d86949a719bf8210c3210fda5bfb9c3340186eb2d8fe2ac97ccdf9a,1.0,1.0,4.976493466252097,4.976493466252097,4.976493466252097
case_037,210001,43800,79023,43800,9,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_037/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_037/singlecore.json,saved_wcc_control,835411a285f111e337d65cc86240498f8ed145c5267ae7ead080ca6454ebe3f9,1.8041780821917808,1.0,4.794543378995434,2.6574668134593726,4.794543378995434
case_038,1364555,281310,374617,281310,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_038/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_038/singlecore.json,saved_wcc_control,1a5091f62f272d9748a4fd17189daf99da483a2f820815555a2b6e3ad4f551a2,1.3316874622302797,1.0,4.850716291635562,3.642533574290542,4.850716291635562
case_039,1435262,431161,476677,431161,9,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_039/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_039/singlecore.json,saved_wcc_control,a7fa60948edbf5cbdb47cc70470eb8792a59d98f1b8da476449493c13f9536bd,1.1055661342282812,1.0,3.3288307615948565,3.0109738879786523,3.3288307615948565
case_040,253454,110337,102367,102367,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_040/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_040/singlecore.json,op_stable_id_w200,dd4af483ddb080cf9a4add2413933dae5f23c0378cc7ce37e30fc2ae78a97694,0.9277667509538958,0.9277667509538958,2.2970898248094476,2.475934627370149,2.475934627370149
case_041,6003957,1196379,1603544,1196379,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_041/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_041/singlecore.json,saved_wcc_control,ee2b0fb75db635e5ccf37b108c71488da6356c0b47e1790e84c246cbef384fc7,1.340331115808619,1.0,5.018440644645217,3.7441797668165013,5.018440644645217
case_042,1686740,370832,372774,370832,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_042/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_042/singlecore.json,saved_wcc_control,03b970ae93c91860d906965e2cf3eb8ad8d937b465fb35a693886ad4a7d7b939,1.0052368727617897,1.0,4.5485287138111055,4.524832740480828,4.5485287138111055
case_043,677656,269610,232981,232981,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_043/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_043/singlecore.json,op_stable_id_w200,40977b39b0e7548bebf9a60a495c372051dc613e9f8146b3f8a38fa2a84720ab,0.8641407959645414,0.8641407959645414,2.5134676013500985,2.9086320343719017,2.9086320343719017
case_044,154407,131105,82329,82329,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_044/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_044/singlecore.json,priority_only_release_priority,8c8fd32469677b64d809705e324dc876eb57ebac9677f37ff491ab8421cfd961,0.6279623202776401,0.6279623202776401,1.1777354029213225,1.8754873738293918,1.8754873738293918
case_045,125614,26164,33215,26164,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_045/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_045/singlecore.json,saved_wcc_control,16c066eaf843ecfc170e7e39a4efdb9a1997512218dce3f4ba6246f905c5e626,1.2694924323497936,1.0,4.801024308209754,3.7818455517085656,4.801024308209754
case_046,276455,131039,93267,93267,11,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_046/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_046/singlecore.json,op_release_priority_w200,75686e1dfb2aa9eca58cccc9b26e97f74f3a3ddb29547a554ad39884cd550657,0.7117499370416441,0.7117499370416441,2.10971542823129,2.9641245027716128,2.9641245027716128
case_047,326508,326508,122134,122134,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_047/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_047/singlecore.json,op_stable_id_w200,898a2bff87bac02e93f6456ea5a2da5b309ea8ad4da0d3484871e6d4010b1853,0.374061278743553,0.374061278743553,1.0,2.67335876987571,2.67335876987571
case_048,222220,222220,98926,98926,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_048/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_048/singlecore.json,op_stable_id_w025,c619927fa516b4b10c6210fc4b88fa3f5186ae434ce290423a5c836fcea3fdea,0.44517145171451716,0.44517145171451716,1.0,2.2463255362594263,2.2463255362594263
case_049,196276,160206,97671,97671,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_049/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_049/singlecore.json,op_release_priority_w200,f33e30c73f6597da5494f160981d3689bc7528c4fe5a6658f313b921f5f6d67f,0.6096588142766188,0.6096588142766188,1.2251476224361135,2.0095627156474287,2.0095627156474287
case_050,149690,108121,65615,65615,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_050/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_050/singlecore.json,op_stable_id_w200,788d7ad47a2338311eb5ca60c48774a6740e39618980eba24a41f4c063baa681,0.6068663811840438,0.6068663811840438,1.3844674022622803,2.2813381086641775,2.2813381086641775
case_051,607628,607628,164392,164392,10,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_051/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_051/singlecore.json,op_release_priority_w100,be893a506dfffb76e5f8768d3b36bde5fcbf6ef7671d3a8071ed381052bdcb8c,0.2705471110613731,0.2705471110613731,1.0,3.6962139276850454,3.6962139276850454
case_052,180301,50659,62516,50659,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_052/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_052/singlecore.json,saved_wcc_control,37c03056216f733b2ddfc887042bf4476dcbf23a11342a741ed177306be110e6,1.2340551530823742,1.0,3.5591109180994493,2.8840776761149147,3.5591109180994493
case_053,1472686,492699,507577,492699,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_053/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_053/singlecore.json,saved_wcc_control,44dc64a53b6d15dd30427ab3f45328c710310ed2d06ae7751bbcbcc16a79cf27,1.0301969356544258,1.0,2.9890176355137723,2.9014041219361792,2.9890176355137723
case_054,815051,517960,265902,265902,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_054/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_054/singlecore.json,op_stable_id_w200,e9a66b979f3cfd6e797845b2bdd37c68cd07bc959adbb0c8e0e3fe88f2148863,0.5133639663294463,0.5133639663294463,1.5735790408525754,3.0652307993170416,3.0652307993170416
case_055,118835,26309,57276,26309,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_055/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_055/singlecore.json,saved_wcc_control,a3127d2c29ab1a5bb90114d6f1c602e1a76a49c15e647126708b7512c5a3f9f6,2.1770496788171347,1.0,4.516895359002623,2.0747782666387318,4.516895359002623
case_056,277285,265710,158328,158328,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_056/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_056/singlecore.json,op_stable_id_w200,23207f9122773d5687b1a5d32e5de07a674ae2b6eae5c6a718237ff7bf7d1aea,0.5958676752850852,0.5958676752850852,1.0435625305784502,1.7513326764691022,1.7513326764691022
case_057,59726,16538,27306,16538,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_057/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_057/singlecore.json,saved_wcc_control,f9fc96bf4615344b67c08d29fba139d80afd2f9103ce37a1e1e15658a59a64f9,1.651106542508163,1.0,3.6114403192647235,2.187284845821431,3.6114403192647235
case_058,4539717,1004819,1280438,1004819,8,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_058/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_058/singlecore.json,saved_wcc_control,d5f10484ecfd3c86387d881253134462a6e166e874c2da336fbb38cbf81eebe9,1.2742971619764356,1.0,4.517945022934478,3.5454407007602087,4.517945022934478
case_059,829473,150782,207468,150782,7,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_059/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_059/singlecore.json,saved_wcc_control,d2c49cbd893d8ef50523efe08eaa45282f905df615791c8640e801357da6e5a9,1.375946731042167,1.0,5.501140719714555,3.9980768118456824,5.501140719714555
case_060,888789,183430,347454,183430,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_060/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_060/singlecore.json,saved_wcc_control,b0cc5a75afecb617f88cd5ee64bcfc9cbf01e827627f6057d991cfa84826d1f0,1.8942048737938177,1.0,4.845385160551709,2.5580048006354796,4.845385160551709
case_061,77191,22283,35871,22283,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_061/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_061/singlecore.json,saved_wcc_control,c4ffda2ad2573b8141a6496fbbab2e1f6cd0e99ceb1aa4321f6dec3ab3434fde,1.609792218282996,1.0,3.46412063007674,2.151905438933958,3.46412063007674
case_062,2854809,2854809,690990,690990,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_062/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_062/singlecore.json,op_stable_id_w200,c1844dbfd84546e68e863e7d32c243af6351b44b25f7155c0cacfcd3de78683c,0.24204421381605565,0.24204421381605565,1.0,4.131476577085052,4.131476577085052
case_063,1070397,1070397,250837,250837,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_063/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_063/singlecore.json,op_stable_id_w200,67b31a96e7d6b228429261e6f1bd01e7f0cf71dcf369417c1fca08dc66c910fe,0.23434015603556438,0.23434015603556438,1.0,4.26730107599756,4.26730107599756
