case,method,seed,makespan,logical_calls,new_calls,task_calls,elapsed_seconds,timeouts,winner_plan
case_037,adaptive,17,43013,7,0,0,0.1950800420017913,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020020-375b40b3e80c4699bc4297379d0c56ee/plan.json
case_081,hybrid,17,30943,7,1,2,0.9950380839873105,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020020-4c4b29fdb3db4a26a50cc04b232573d3/plan.json
case_015,hybrid,42,43411,12,0,2,0.26762283395510167,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020021-33e086c7e8494262a340539cf81aaa38/plan.json
case_037,adaptive,42,43013,7,0,0,0.19044445792678744,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020021-3ecef657c35c4d48bf3b7d538fdfda8e/plan.json
case_037,component,73,43013,12,8,0,1.2030023750849068,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020022-af20e6d47dc9476a9e19a155a1edde01/plan.json
case_038,hybrid,17,276281,7,3,3,11.099359082989395,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020024-025bda5847504db29431f7a847237bc6/plan.json
case_002,hybrid,42,114539,12,3,2,2.0490922920871526,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020034-6de44b26b3d0472d97020f821e48b77b/plan.json
case_071,hybrid,17,13396,12,0,2,0.13237787503749132,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020036-3b6dc29b2d6f4ed7b30e54795cf8ee29/plan.json
case_015,component,42,43411,12,7,0,1.3659942500526085,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020036-e294f35c9deb4c3eba1170769b13a6e6/plan.json
case_038,component,17,279703,12,8,0,21.51179374998901,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020019-0eb8161a0dbe46da9724b1f717223847/plan.json
case_066,component,73,247923,12,2,0,4.970997166004963,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020040-da33ea3979dd4b378048ec833a324a4f/plan.json
case_066,component,42,247923,12,2,0,4.9184343330562115,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020045-4f70c18e1bc8413baef2ef650d90bee1/plan.json
case_015,adaptive,17,43411,12,0,0,0.25951295904815197,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020050-36a53c85f7154deb88559440e0c01471/plan.json
case_066,adaptive,17,205062,12,0,0,0.9837469579651952,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020051-b13f6e45874440a0be7d9bd940379162/plan.json
case_038,component,42,282242,12,9,0,23.42302512493916,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020038-41dc6f2de81d4b829ec92ab20326197f/plan.json
case_071,component,17,18919,1,0,0,0.007164707989431918,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020101-1632ce3778734695858a6decaec3f00d/plan.json
case_037,component,42,43013,12,5,0,0.8040670000482351,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020101-3a0bf041324744d89b60b37e66705964/plan.json
case_071,component,42,18919,1,0,0,0.006660875049419701,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020101-5c1f164cd1534cbc87f8292f00a9469e/plan.json
case_002,adaptive,17,114925,12,1,0,0.6973902920726687,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020102-4c3e5d589d54443a8d950bd5a18317e7/plan.json
case_081,component,73,30943,12,0,0,0.13726983300875872,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020102-1b9810b1c6014c578a826a130454e59e/plan.json
case_037,hybrid,73,43013,8,1,1,0.3596449999604374,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020102-79448ec4e31c473881adc19d58eb3371/plan.json
case_086,component,17,118403,1,0,0,0.03685658297035843,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020103-55c82c20c1aa4a68ae49700c6444ed5e/plan.json
case_038,hybrid,42,276053,8,4,4,13.365721208043396,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020055-62a9a518d0454e7f866deb121ff99645/plan.json
case_066,hybrid,73,200034,12,2,3,2.793221792089753,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020104-141ffe514d7e4332b198a27b413f299b/plan.json
case_002,hybrid,73,114539,12,2,2,1.1613752910634503,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020105-3c2d753be72448d1b32f269a35fd59a4/plan.json
case_081,component,17,30943,12,0,0,0.1342121249763295,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020106-e79af1305a1140c684eebd21fb489a96/plan.json
case_015,hybrid,17,43411,12,0,2,0.2787514580413699,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020106-3e9d810510ff440c8151f43b1b23ef02/plan.json
case_086,adaptive,42,95806,12,0,0,0.5582525000208989,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020106-dac1506db4904b8fb8852a9563d92888/plan.json
case_071,adaptive,42,13396,12,0,0,0.11063316697254777,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020106-dcd36570edab497b94af9835ed9a2f4d/plan.json
case_071,component,73,18919,1,0,0,0.0060024160193279386,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020106-76a71b4f80f3429c8e088e29ac24ccef/plan.json
case_015,adaptive,73,43411,12,0,0,0.26482620905153453,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020106-151df03037f94570980c4ff2433f376c/plan.json
case_002,adaptive,42,114925,12,1,0,0.7049364999402314,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020107-7b4261c7f8df4ceda6669ac78908883e/plan.json
case_038,adaptive,42,282242,4,0,0,1.0553818750195205,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020107-194e15550b874828b20e4c7e0ee3fa5e/plan.json
case_086,component,42,118403,1,0,0,0.03426916594617069,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020107-821d8ba3573c41439cbe7bc5bda786dd/plan.json
case_037,adaptive,73,43013,7,0,0,0.19781758298631757,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020107-66bbdcbf34fd47adaf6730b978593878/plan.json
case_002,component,73,261945,1,0,0,0.01377587509341538,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020107-814a4e42167e49ab9c78d12a56f63649/plan.json
case_002,adaptive,73,114925,12,0,0,0.2983860420063138,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020107-93cb8b4717184f36ab5838520c2a4915/plan.json
case_015,component,17,43411,12,6,0,1.1911228749668226,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020108-6bdf4de3c85c44d58d9cec22b4462cd2/plan.json
case_038,component,73,283353,12,8,0,19.613079042057507,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020112-38dfbf1a33424a3b9b4686d947bdff56/plan.json
