case,method,seed,makespan,logical_calls,new_calls,task_calls,elapsed_seconds,timeouts,winner_plan
case_048,component,73,222220,1,0,0,0.012062916997820139,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015755-2a2e5a278ba8459bb401f177ffdfc5b4/plan.json
case_024,component,42,2555343,1,0,0,0.03544925001915544,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015755-7a54c8dc83b945c7b56e020c08584238/plan.json
case_017,adaptive,73,35496,4,0,0,0.23306745802983642,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015755-662c47d9daf945ca8db63148ce8303c6/plan.json
case_093,component,73,15876,12,2,0,0.3418991669313982,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015755-3a4b8800d5ed4547bc368f856739c6d4/plan.json
case_023,hybrid,17,23846,5,3,3,0.6554194580530748,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015756-cfe56f8adea948f297829b6dd488ce3e/plan.json
case_026,hybrid,73,41665,12,4,4,0.6973598749609664,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015756-15efae445a464fa2b9bf69751df1dade/plan.json
case_074,hybrid,73,331718,8,4,4,5.151092750020325,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015756-f04fa667670d44678af7fc1d1a5ea460/plan.json
case_018,adaptive,17,205917,5,0,0,0.4832658750237897,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015757-57dfa40902c84309ac9227c84dcc8915/plan.json
case_074,adaptive,73,334798,4,0,0,0.6185922080185264,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015757-75ccf9a6ac80449cb5ee7147b352b8d3/plan.json
case_068,adaptive,42,268666,12,4,0,3.237043958972208,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015758-83ae99890ce0405fb5b46be9ee41e8d3/plan.json
case_048,component,42,222220,1,0,0,0.012269166996702552,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015800-86811b4dce4f4324883c0e22f39f480b/plan.json
case_068,hybrid,73,268666,12,4,4,3.297277000034228,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015758-07791b8daf8047e38f8577622d9d870f/plan.json
case_036,adaptive,73,187182,5,0,0,0.4476258750073612,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015801-c349cd412e324bf387b9a40fe66137d6/plan.json
case_036,hybrid,17,187182,6,1,1,0.9606849160045385,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015801-7b1b82051ca847b0af1deaa2d4739e8e/plan.json
case_093,adaptive,42,15876,2,0,0,0.10483504191506654,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015801-127b44e38e664b76be27580eb4fb37b8/plan.json
case_068,component,17,302408,12,0,0,0.2604029580252245,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015802-841490687fe549588b0a4b9b6d6f45a8/plan.json
case_024,hybrid,17,2555343,7,1,1,1.413370915921405,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015801-67567e89e5e349eab312e4e9460b5967/plan.json
case_018,hybrid,42,205917,8,3,3,3.1819955829996616,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015803-487b855711654f4d88b223f9dc0a7679/plan.json
case_027,hybrid,17,558753,7,1,1,0.6490598340751603,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015806-e094f5202bc549da9a0d6cbf83727b1b/plan.json
case_048,adaptive,17,211661,12,3,0,0.7907912079244852,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015807-caf717d7f3704a7fb0c5f99fb63fbf6b/plan.json
case_009,component,17,92198,12,4,0,9.325270708999597,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015802-3425add78d834e07b395229f495882fd/plan.json
case_074,component,73,332081,12,4,0,4.325640624971129,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015808-a3993f674dc74c5a86573f7aee72c61f/plan.json
case_100,adaptive,17,57971,12,3,0,0.7932791659841314,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015811-3f7570a6ae874a26bb9bec279250051e/plan.json
case_036,component,73,187182,12,0,0,0.2399747499730438,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015812-be3e69bbea6e4399a07c0fec72c71f6c/plan.json
case_024,adaptive,17,2555343,6,0,0,0.6520344580058008,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015812-31947c9eae1d423ea89dba6505ebd5ce/plan.json
case_023,hybrid,73,23846,5,0,3,0.21946958301123232,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015813-0eee4b9dc7794247913ffe2dac0f4d03/plan.json
case_064,hybrid,42,16463,12,2,2,0.4089089590124786,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015813-15dc2c48961f4e98bb4aaf2c1d3d8806/plan.json
case_050,hybrid,42,77776,11,2,3,2.0470633750082925,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015814-6e22a29b965847bc9388d651f56c1dca/plan.json
case_024,component,17,2555343,1,0,0,0.032523332978598773,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015814-8c6def0262694fe2b68dcf5702168231/plan.json
case_042,adaptive,73,351786,4,0,0,0.7891564579913393,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015814-ebac3644c6a0449faabf3a0c6849253f/plan.json
case_048,hybrid,42,222220,12,2,2,0.665694540948607,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015814-f48a4c94ec6a40cd82a2a74231c9dbd7/plan.json
case_026,adaptive,42,41688,12,3,0,0.5518966249655932,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015815-b27c3e78c28d43348ba924160f5006d1/plan.json
case_048,adaptive,42,211661,12,0,0,0.18752433301415294,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015815-8d2a21f8105d4cd4b18cb2e477857c7e/plan.json
case_042,component,17,359292,12,4,0,6.251546334009618,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015815-e2c8ec6750f5478780e18db73d769d5c/plan.json
case_018,hybrid,73,205917,8,0,3,0.620782666024752,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015821-39f57bd95be94fc984aeef16e7597c02/plan.json
case_023,adaptive,42,24486,2,0,0,0.1727182089816779,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015821-a04de409c0574206904fe6b487489f17/plan.json
case_068,hybrid,42,268666,12,2,4,2.1588566669961438,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015822-9bcbb93c4f2b40549fe1bbdd8bada59a/plan.json
case_036,adaptive,17,187182,5,0,0,0.4648742909776047,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015824-7616c46ee7ce44ae8b1f200e85954c78/plan.json
case_093,hybrid,42,15876,3,1,1,0.2626902910415083,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015824-b0795ecf0fd94b42b8930a345fff3556/plan.json
case_048,adaptive,73,211661,12,0,0,0.18656862492207438,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015824-ddb04c03a8d64e4b8fc2f0c6a6075649/plan.json
case_009,component,73,92198,12,0,0,0.28173033299390227,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015825-c55505335f63422f99a4872b1cfd37e9/plan.json
case_042,adaptive,17,351786,4,0,0,0.7898780000396073,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015825-75f673d39bdf4f4c939ea07bb9ea114d/plan.json
case_042,hybrid,17,342220,10,6,6,11.355980208027177,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015820-e395094331294ad78539fcd0ce7172b1/plan.json
case_027,component,42,558753,12,4,0,1.1842467079404742,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015827-6c3569e61ea84ee2bd3db678da362ff6/plan.json
case_009,hybrid,73,83830,12,2,4,2.232558291987516,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015826-504b5b5d816043c5baeebc1b5f10367b/plan.json
case_064,component,17,19116,1,0,0,0.007226165966130793,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015828-df39bec8303b4a09be673053413e57a0/plan.json
case_026,adaptive,73,41688,12,1,0,0.2817086660070345,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015828-8fd0bd97eb514fd68d465f2653420314/plan.json
case_100,adaptive,73,57971,12,0,0,0.24456075008492917,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015828-28adfc2b5f5a46b68c39b1be4fdafeef/plan.json
case_100,component,73,57811,12,4,0,0.9234682499663904,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015828-7c499744462b481d926695235e651335/plan.json
case_023,component,17,24268,12,4,0,0.7111347920726985,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015828-45a5567b0da94c08b3f8b2615b497954/plan.json
case_023,component,42,24268,12,4,0,0.7821372499456629,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015829-79add1a2feee482b9de0e803314a060d/plan.json
case_042,hybrid,73,342220,10,2,6,2.5033220420591533,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015831-31d8c60e7fdf4620a7c86278e1d7b523/plan.json
case_074,component,17,332092,12,3,0,2.5482494580792263,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015830-0fb4808270cd41deb33600052aa23f19/plan.json
case_068,hybrid,17,268666,12,2,4,2.1580923330038786,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015833-fa27065f038f4c9a93bd42ac115661ec/plan.json
case_017,hybrid,42,35496,6,0,2,0.35438512498512864,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015834-353d0458a3e94b239c93e9a0b5ff4480/plan.json
case_050,component,73,108121,12,0,0,0.23810966697055846,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015835-a13d78df38d54610a252339e3abecd1c/plan.json
case_042,component,42,357340,12,3,0,3.662208375055343,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015832-5f5a6bd94c324d31b8efa8aa018701f4/plan.json
case_068,component,42,302408,12,0,0,0.2618923330446705,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015835-33b6b4d1d7824198adcc6b59b13f05c4/plan.json
case_100,hybrid,17,57811,12,2,4,0.6728905829368159,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015835-fb7c2f48fa3b484e9ce3984a0738962e/plan.json
case_024,component,73,2555343,1,0,0,0.03406570805236697,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015835-7f90452589a1456f8e87867287c33246/plan.json
case_023,hybrid,42,24161,5,3,3,0.6727020420366898,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015836-3020d1ceb1d44e3f96de497cf37f9920/plan.json
case_100,component,42,57811,12,3,0,0.7430652499897406,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015836-392dca1390354c1ba80449c946c9a22a/plan.json
case_027,adaptive,73,558753,6,0,0,0.3599783329991624,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015836-a1b9371e0b1b40b584d1c1f474f30b4d/plan.json
case_064,component,42,19116,1,0,0,0.006871707970276475,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015836-d6ee25f956be4d4fa81a870203b1ca32/plan.json
case_009,adaptive,73,83830,12,0,0,0.8355787079781294,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015837-7895136370bd495cafb1b2165fad7fd2/plan.json
case_026,component,42,41688,12,3,0,0.4842668749624863,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015837-dc5b8a6d190d4fbfb5b7fbcdda3b23ae/plan.json
case_009,hybrid,42,83830,12,2,4,2.2817377920728177,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015837-c1e82e150f4e456890365435753403d7/plan.json
case_017,component,42,35340,12,4,0,1.1158024580217898,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015838-72637535329f41dea080d6d71f352a0f/plan.json
case_074,adaptive,17,333227,4,0,0,0.6430353749310598,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015839-043143c755174535ad60b148e8da281b/plan.json
case_100,component,17,57811,12,3,0,0.739287875010632,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015839-9a804a87404d46ac80efed2afd30f979/plan.json
case_074,adaptive,42,336492,4,0,0,0.6445921250851825,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015839-89cab75a2f8c41a18b532dc7b22c4350/plan.json
case_093,component,42,15876,12,0,0,0.08278358296956867,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015840-98ea2820d9474311804e31b71968d0a8/plan.json
case_050,component,17,108121,12,0,0,0.22948337509296834,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015840-35ef27c5e57a46f1927109db5a09491e/plan.json
case_064,hybrid,73,16370,12,3,3,0.5369416670873761,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015840-fe05d87cfa7842f398514a78a260a70d/plan.json
case_100,adaptive,42,57971,12,1,0,0.4314985419623554,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015841-3317a3682a0a48d79845c3c5c0f3347e/plan.json
case_018,component,42,205917,12,4,0,2.4541958749759942,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015840-874097e14bce4429a978f1a089536158/plan.json
case_026,hybrid,42,41665,12,2,4,0.43130258400924504,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015843-150fdbed365541e29fc51cd5e771f59a/plan.json
case_064,adaptive,42,16469,12,1,0,0.25105058297049254,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015843-4e875fa987e34bf1b2d3e4306464469d/plan.json
case_064,hybrid,17,16370,12,1,3,0.2698715419974178,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015843-5a3cb3ae92db48ba8f0ccdcba22ea797/plan.json
case_027,hybrid,42,558753,7,1,1,0.7086491250665858,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015843-8c7dbdd0c4ea436287a98f461cc9c7b5/plan.json
case_048,hybrid,17,222220,12,0,2,0.23282549995929003,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015844-05d11e6a4dbc4fb79e43df6085ff0d96/plan.json
case_026,adaptive,17,41688,12,0,0,0.1514050419209525,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015844-80302c5a74154e93a266ec63c7d1585a/plan.json
case_036,hybrid,73,187182,6,1,1,0.9751671249978244,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015845-cde5ad32c9834b5290658da835bdd90f/plan.json
case_018,adaptive,42,205917,5,0,0,0.5159710410516709,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015846-5780a3781a65471b95655dd55efe641d/plan.json
case_074,hybrid,42,332448,8,4,4,5.196433583972976,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015843-2df6ed6e96e647b8a91a814708e44ad0/plan.json
case_100,hybrid,42,57811,12,2,4,0.6515892499592155,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015846-965b1b1d39434a9cbb1060c0ceb43438/plan.json
case_009,adaptive,17,83830,12,0,0,0.8342434579972178,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015847-67fbfb20f8af44dfa119f028b687b9ff/plan.json
case_050,adaptive,42,78548,8,0,0,0.7798338329885155,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015848-48853c8f1e1e4bd9ab3a633f4d086bcc/plan.json
case_068,adaptive,73,268666,12,0,0,0.8079901250312105,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015849-c8f51b5f49464f47997943f2c5b69867/plan.json
case_036,hybrid,42,187182,6,1,1,0.9768410000251606,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015849-68ac02d99e3d4ced8de52570d4179404/plan.json
case_074,component,42,332422,12,4,0,3.9944794171024114,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015846-07d4e318d5154fcf8673078c6b740689/plan.json
case_026,component,17,41688,12,1,0,0.21573745796922594,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015850-5a513d22f22745989cb21df85b38b370/plan.json
case_009,component,42,92198,12,0,0,0.28010520804673433,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015850-ac4272a602cb4de997a1aba5905522a7/plan.json
case_024,hybrid,42,2555343,7,0,1,0.7608035419834778,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015850-052d345ccffa438eb107e3ab23f51733/plan.json
case_027,component,17,558753,12,4,0,1.2366449169348925,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015850-a6c9a21a9b3f45feaf05b1c80a345e44/plan.json
case_023,adaptive,17,24268,2,0,0,0.17115062510129064,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015851-362be54839f54be487ce79822ec32018/plan.json
case_093,adaptive,73,15876,2,0,0,0.10441899998113513,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015851-69ba146350db4c55aa4ec6745f09d846/plan.json
case_024,adaptive,73,2555343,6,0,0,0.6059000829700381,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015851-a3d696a839b14c54988993f5258ee938/plan.json
case_024,hybrid,73,2555343,7,0,1,0.776672458043322,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015851-e3fee17173c248ac9c30b9115a3c070d/plan.json
case_017,hybrid,17,35496,6,0,2,0.29200187500100583,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015852-d9c5d0749cf548558bc28227ba9bbd4b/plan.json
case_064,component,73,19116,1,0,0,0.008774250047281384,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015852-614279cb09564ff2b58c86abb1ad690c/plan.json
case_036,adaptive,42,187182,5,0,0,0.4714252909179777,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015852-514782ffc3f544cb87477c7372b549cf/plan.json
case_018,hybrid,17,205917,8,0,3,0.6259356669615954,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015853-f69d6a3774a04704ac36ccc0e6961635/plan.json
case_068,adaptive,17,268666,12,0,0,0.7905657909577712,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015853-35db55abac47429c957ef608730ac05f/plan.json
case_048,hybrid,73,222220,12,0,2,0.23758325004018843,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015853-2ae527244042464c918521082d51f204/plan.json
case_093,hybrid,17,15876,3,1,1,0.2673488330328837,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015853-5448736f760148ab8bca80ed5a31e08f/plan.json
case_050,hybrid,73,77776,12,2,3,1.8796024170005694,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015856-8ea4dc319bf44aa8b0c9fa6792fb8933/plan.json
