batch,case,cores,name,status,makespan,accepted,cache_hit,task_bound,ddr_bound,lower_bound,task_count,max_task_ops,mandatory_boundary_bytes,core_ownership_preserved,official_record
深化任务粒度_v1,case_014,5,merge256,success,3641147,True,False,3457352,2382479,3457352,150,256,142349092,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001419-73b22e13c3b448ee803ae0057cd2bac7/record.json
深化任务粒度_v1,case_014,5,local_duration,success,3826094,False,False,3483532,2942750,3483532,1340,124,175838332,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001431-0c2e9eeb6a934aecacae783899491194/record.json
深化任务粒度_v1,case_014,5,merge512,success,3645508,False,False,3455852,2058828,3455852,75,511,123013924,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001446-c26ba32d29af4e3fa0f2115011bb7826/record.json
深化任务粒度_v1,case_014,5,observed_duration,success,3783606,False,False,3490144,2942750,3490144,1340,124,175838332,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001502-55e7bfa22f2641f88187600f67bbf55d/record.json
深化任务粒度_v1,case_014,5,merge1024,success,3658207,False,False,3455152,1676062,3455152,40,1024,100144420,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001519-e39230268fc34fedb5dfd71a20d9e53f/record.json
深化任务粒度_v1,case_014,5,merge2048,timeout,,False,False,3454752,1344282,3454752,20,2043,80322340,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001551-487a29afa34c4ac7a346c0d65e759dd4/record.json
深化任务粒度_v1,case_025,5,local_duration,success,975282,False,False,941976,140942,941976,5,3738,8328192,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001902-12aeeca36623487e99ae2d3f5edba04b/record.json
深化任务粒度_v1,case_025,5,split1024,success,979692,False,False,942276,147872,942276,20,1022,8742912,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001914-3f92474de2334f89a74ab4e84f04600e/record.json
深化任务粒度_v1,case_025,5,split512,success,985572,False,False,942676,157112,942676,40,511,9295872,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001917-36bc9037250f4cd8bb9cd9e6628d010c/record.json
深化任务粒度_v1,case_053,5,local_duration,success,492232,False,False,349470,84650,349470,4,9853,5064792,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001920-a5a1d2dee6d94815bb1d998b33de44b9/record.json
深化任务粒度_v1,case_053,5,observed_duration,success,492232,False,False,349470,84650,349470,4,9853,5064792,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001931-47b91f0f859c40a6a5d6d3cc86372c24/record.json
深化任务粒度_v1,case_053,5,split1024,success,491550,True,False,353057,100130,353057,13,1024,5962876,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001942-cf92831b9843421298adb3edb1bbf7c6/record.json
深化任务粒度_v1,case_053,5,split512,success,497391,False,False,362518,157474,362518,26,512,9378944,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001945-362ed728e68f4470ad8d6c3f41655322/record.json
深化任务粒度_v1,case_062,5,merge256,success,942950,True,False,868752,615820,868752,86,2047,36636672,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001419-53715ddbca874ef6a9713083cf3f7551/record.json
深化任务粒度_v1,case_062,5,local_duration,success,1240309,False,False,707456,620312,707456,4377,2047,36903936,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001423-cfcd3fb7b1f445808fd47030e52c9a6a/record.json
深化任务粒度_v1,case_062,5,observed_duration,success,1233546,False,False,743452,620312,743452,4377,2047,36903936,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001446-a41f105d0069439882756e9522a3fedf/record.json
深化任务粒度_v1,case_062,5,split1024,success,1259896,False,False,706572,673560,706572,4378,1024,40049664,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001510-10b7db18e2714a7ab7b2454f0a171540/record.json
深化任务粒度_v1,case_062,5,split512,success,1273809,False,False,706572,726808,726808,4381,512,43195392,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001535-0438185c2d96461497f750f533d8e5e5/record.json
深化任务粒度_v1,case_063,5,merge256,success,327110,True,False,280232,190435,280232,36,255,11346432,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002008-28b6d6dd3cc54f58b11a0ebae42815b3/record.json
深化任务粒度_v1,case_063,5,local_duration,success,368165,False,False,230784,191596,230784,854,127,11415552,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002009-b3c2dc95f8a741e59304503abaeb054d/record.json
深化任务粒度_v1,case_063,5,merge512,success,379682,False,False,322432,189919,322432,20,510,11315712,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002012-02512400ad814cc7917556be88ae0465/record.json
深化任务粒度_v1,case_063,5,observed_duration,success,364375,False,False,227540,191596,227540,854,127,11415552,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002014-1c4ab4c071074cb0a3d802b591476b46/record.json
深化任务粒度_v1,case_072,5,merge256,success,4714200,True,False,4597760,2744990,4597760,101,6140,164117800,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001602-49159b01f9fe4284858b62dcbc9ae266/record.json
深化任务粒度_v1,case_072,5,local_duration,success,4762161,False,False,4652740,3126512,4652740,476,6140,186936960,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001613-4d0f4ec29a494b5ab151af043b7bfb4b/record.json
深化任务粒度_v1,case_072,5,merge512,success,4729694,False,False,4596760,2420437,4596760,52,6140,144710952,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001625-9802bd4d930047d2a742a607869cc244/record.json
深化任务粒度_v1,case_072,5,observed_duration,success,4742754,False,False,4637328,3126512,4637328,476,6140,186936960,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001642-b4de9a1cf7bc434eaf099d920064c52d/record.json
深化任务粒度_v1,case_072,5,merge1024,success,4881460,False,False,4596260,1871912,4596260,26,6140,111905744,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001653-65c47205f4ba46e1963bb92324f37c73/record.json
深化任务粒度_v1,case_072,5,split1024,success,4767255,False,False,4606604,3132499,4606604,481,1024,187276608,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001721-489eed352b6147d79fb05cea6fb8054c/record.json
深化任务粒度_v1,case_076,5,local_duration,timeout,,False,False,1214388,498674,1214388,10,3318,29286994,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001642-fca42f7b26744fb8817b556da6312e0e/record.json
深化任务粒度_v1,case_076,5,observed_duration,timeout,,False,False,1215180,498674,1215180,10,3318,29286994,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001732-8003f9ab42e140959eab47ede1d7866a/record.json
深化任务粒度_v1,case_076,5,split1024,success,1229020,True,False,1213400,711673,1213400,40,1024,41859666,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001823-f3bc10d791204bb9a281b9fa3ee7a73f/record.json
深化任务粒度_v1,case_076,5,split512,success,1229772,False,False,1214000,847007,1214000,70,512,49847890,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001847-1e9823e98b2d47d7b9829eaf73490598/record.json
深化任务粒度_v1,case_087,5,split1024,success,879179,True,False,722800,287937,722800,30,1024,17164198,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001731-51d4bd0ec2fe4c6fbe29f00373af343c/record.json
深化任务粒度_v1,case_087,5,split512,success,889025,False,False,732291,363325,732291,57,512,21641422,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001744-ac6e599d8a284d0bbde2795e2b81ece2/record.json
深化任务粒度_v1,case_091,5,local_duration,timeout,,False,False,1796372,701124,1796372,10,3223,41756152,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001753-92699ed3a6564749b96cae23bc2b10c5/record.json
深化任务粒度_v1,case_091,5,observed_duration,timeout,,False,False,1796372,701124,1796372,10,3223,41756152,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001843-4c2929e6b2014905a0e04e47c67405fc/record.json
深化任务粒度_v1,case_091,5,split1024,success,1864976,True,False,1796972,1026939,1796972,40,1016,61043704,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001933-1d020bc4b33446af965748d744d3e0c9/record.json
深化任务粒度_v1,case_091,5,split512,success,1861235,True,False,1797572,1226923,1797572,70,501,72892408,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002001-0fa77461b5d045fdb21d67a392d03fe3/record.json
深化任务跨核_v1,case_014,2,merge256,success,8811571,True,False,8621556,2060846,8621556,146,256,123098572,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002048-4c4da9ac8b1e402e8dc29a5dff978eb6/record.json
深化任务跨核_v1,case_014,2,local_duration,success,9155763,False,False,8688096,2942750,8688096,1340,124,175838332,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002056-5e6508b4c38f43a9a92f9453d1ec10be/record.json
深化任务跨核_v1,case_014,3,merge256,success,5940891,True,False,5749680,2188350,5749680,147,256,130718836,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002048-b89f169a697f4c6fab47bbb64ccbef76/record.json
深化任务跨核_v1,case_014,3,local_duration,success,6174428,False,False,5794040,2942750,5794040,1340,124,175838332,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002058-c9bbcf5dfe204752be6d8321a091bb87/record.json
深化任务跨核_v1,case_014,4,merge256,success,4514249,True,False,4321488,2299244,4321488,148,256,137363404,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002114-b43117ee778e4863b54e35f4d4bc7761/record.json
深化任务跨核_v1,case_014,4,local_duration,success,4697445,False,False,4353568,2942750,4353568,1340,124,175838332,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002125-e16bbc2ff42b4e7a860e245162f204e3/record.json
深化任务跨核_v1,case_062,2,split1024,success,2870944,False,False,2735096,1134138,2735096,21,1024,67433472,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002116-87440d72387f42e0a878bbd2abf0d637/record.json
深化任务跨核_v1,case_062,2,split512,success,2899059,False,False,2737096,1161280,2737096,41,512,69037056,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002126-391aa03957514c5b8a13cd39240150eb/record.json
深化任务跨核_v1,case_062,3,split1024,success,2870944,False,False,2735096,1134138,2735096,21,1024,67433472,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002134-596165cc3d004767b27e5ed931be2a6e/record.json
深化任务跨核_v1,case_062,3,split512,success,2899059,False,False,2737096,1161280,2737096,41,512,69037056,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002145-81ab233774f6462abf56056f4c6a3879/record.json
深化任务跨核_v1,case_062,4,local_duration,success,2127630,False,False,1891400,319411,1891400,4,5091,18998784,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002143-cfccc63cb3ea422a97b288510bcf04ea/record.json
深化任务跨核_v1,case_062,4,split1024,success,2191004,False,False,1965284,399225,1965284,20,1024,23714304,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002205-795223ba68d94728ae5a3b776aefabd2/record.json
深化任务跨核_v1,case_063,2,merge256,success,544445,True,False,493504,85866,493504,27,287,5121024,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002152-095e527a043d4ba9a377571d6b5c210f/record.json
深化任务跨核_v1,case_063,2,local_duration,success,545276,False,False,493948,85866,493948,32,287,5121024,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002153-8d78cb1471464ebeaed8d2ea3681fced/record.json
深化任务跨核_v1,case_063,3,merge256,success,456101,True,False,411740,126503,411740,32,609,7521792,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002154-4045c99357e14ce19358accba25ef681/record.json
深化任务跨核_v1,case_063,3,local_duration,success,508607,False,False,408404,127387,408404,829,609,7574016,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002155-ed485698ae7442d19c8cd5e543de3ac2/record.json
深化任务跨核_v1,case_063,4,merge256,success,327110,True,False,280232,190435,280232,36,255,11346432,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002158-1151f32758b7456ebe67b3668d8c8c27/record.json
深化任务跨核_v1,case_063,4,local_duration,success,416193,False,False,284704,191596,284704,854,127,11415552,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002159-aab3dc4bb7f04c539c2fb6ad6953fa52/record.json
深化任务跨核_v1,case_072,2,merge256,success,11587687,True,False,11472630,2392078,11472630,99,6140,143015208,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002203-43197af7e5ba4714b5179b50d89740ba/record.json
深化任务跨核_v1,case_072,2,local_duration,success,11780337,False,False,11569108,3126512,11569108,476,6140,186936960,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002212-9100920941ab4444aa24970e0579e074/record.json
深化任务跨核_v1,case_072,3,merge256,success,7803551,True,False,7661068,2861828,7661068,100,6140,171110016,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002212-d387d748451644f087202012724f4d3f/record.json
深化任务跨核_v1,case_072,3,local_duration,success,7910842,False,False,7723428,3126512,7723428,476,6140,186936960,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002224-2caec4ad61154a58b58fbd543448cf74/record.json
深化任务跨核_v1,case_072,4,merge256,success,5841178,True,False,5737250,2729235,5737250,101,6140,163175720,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002225-9a48ef80420f48b1a51114ca1c5d8379/record.json
深化任务跨核_v1,case_072,4,local_duration,success,5952131,False,False,5792160,3126512,5792160,476,6140,186936960,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002237-91118c026b08489c92ee1cb91486d384/record.json
