case,problem,cores,before,after,reduction_pct,added_copy_bytes,plan,official_record,official_result
case_002,1,4,171449,171449,0.0,451584,方案/p1/n4/case_002_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/实验记录/core_inheritance_v1/evaluations/attempts/20260924T131145-c2303858170c4f508253754aeb814445/record.json,/Users/liyu/Desktop/中文题目/A题研究/实验记录/core_inheritance_v1/evaluations/attempts/20260924T131145-c2303858170c4f508253754aeb814445/official_result.json.gz
case_002,1,5,114925,114925,0.0,2179584,方案/p1/n5/case_002_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T132823-50825f0e126549c68156854dd56eb59c/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T132823-50825f0e126549c68156854dd56eb59c/official_result.json.gz
case_002,2,2,126927,126927,0.0,4131840,方案/p2/n2/case_002_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123823-40dcaac9dc614bbf8e11a9d2cc6aae68/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123823-40dcaac9dc614bbf8e11a9d2cc6aae68/official_result.json.gz
case_002,2,3,82020,82020,0.0,635904,方案/p2/n3/case_002_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123832-a939cb9d613f424aae1c139a0c9fa7ca/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123832-a939cb9d613f424aae1c139a0c9fa7ca/official_result.json.gz
case_002,2,4,63330,63330,0.0,599040,方案/p2/n4/case_002_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123838-15adf27c2fb54cc6af6d150c0e6cec08/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123838-15adf27c2fb54cc6af6d150c0e6cec08/official_result.json.gz
case_002,2,5,51207,51207,0.0,642048,方案/p2/n5/case_002_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123842-2131565e597a498bb1185d87e89770dd/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123842-2131565e597a498bb1185d87e89770dd/official_result.json.gz
case_002,3,2,125561,125561,0.0,3975168,方案/p3/n2/case_002_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124536-4d135429e32a45d394b4c2df32441011/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124536-4d135429e32a45d394b4c2df32441011/official_result.json.gz
case_002,3,3,82020,82020,0.0,635904,方案/p3/n3/case_002_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124550-c4e1222160af4d45ac02d254b0ccfb1f/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124550-c4e1222160af4d45ac02d254b0ccfb1f/official_result.json.gz
case_002,3,4,63330,63330,0.0,599040,方案/p3/n4/case_002_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124602-40d25aea60fb48b5b4c9d9b331acda21/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124602-40d25aea60fb48b5b4c9d9b331acda21/official_result.json.gz
case_002,3,5,51207,51207,0.0,642048,方案/p3/n5/case_002_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124613-6031f1069748466ea285116f7c4e1716/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124613-6031f1069748466ea285116f7c4e1716/official_result.json.gz
case_003,1,2,538381,538381,0.0,98304,方案/p1/n2/case_003_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/evaluations/attempts/20260924T093747-c5eb0aa176224a98bdc1419c5c4cffdb/record.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/evaluations/attempts/20260924T093747-c5eb0aa176224a98bdc1419c5c4cffdb/official_result.json.gz
case_003,1,3,538381,538381,0.0,98304,方案/p1/n3/case_003_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/实验记录/core_inheritance_v1/evaluations/attempts/20260924T131147-7fc9c627b00645b8b2d5d6c508e891dd/record.json,/Users/liyu/Desktop/中文题目/A题研究/实验记录/core_inheritance_v1/evaluations/attempts/20260924T131147-7fc9c627b00645b8b2d5d6c508e891dd/official_result.json.gz
case_003,1,4,538381,538381,0.0,98304,方案/p1/n4/case_003_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/实验记录/core_inheritance_v1/evaluations/attempts/20260924T131236-a92b691610e043a0bf42240b23d024d6/record.json,/Users/liyu/Desktop/中文题目/A题研究/实验记录/core_inheritance_v1/evaluations/attempts/20260924T131236-a92b691610e043a0bf42240b23d024d6/official_result.json.gz
case_003,1,5,419601,419601,0.0,3243536,方案/p1/n5/case_003_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T132950-12fb477c10f9498484d3fa6ef9e66586/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T132950-12fb477c10f9498484d3fa6ef9e66586/official_result.json.gz
case_003,2,2,337267,337267,0.0,6032838,方案/p2/n2/case_003_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123830-37e975aff0264172b82c02767d95544d/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123830-37e975aff0264172b82c02767d95544d/official_result.json.gz
case_003,2,3,205952,205952,0.0,3430748,方案/p2/n3/case_003_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124105-324650157c2c4edd91125aaeb8e99408/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124105-324650157c2c4edd91125aaeb8e99408/official_result.json.gz
case_003,2,4,173817,173817,0.0,4750638,方案/p2/n4/case_003_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124302-7437b424b2394b2b94d1406244c5646d/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124302-7437b424b2394b2b94d1406244c5646d/official_result.json.gz
case_003,2,5,161941,157029,3.0332034506394323,5783280,方案/p2/n5/case_003_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T220621-2172bc4e5c8d4b3783da01425235ca13/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T220621-2172bc4e5c8d4b3783da01425235ca13/official_result.json.gz
case_003,3,2,323431,323431,0.0,6032838,方案/p3/n2/case_003_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124829-957072543e1c4f99a2be809a8d8db2d8/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124829-957072543e1c4f99a2be809a8d8db2d8/official_result.json.gz
case_003,3,3,200944,200944,0.0,3430748,方案/p3/n3/case_003_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T125135-d71266b7977546eeb910cd6d45e40a76/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T125135-d71266b7977546eeb910cd6d45e40a76/official_result.json.gz
case_003,3,4,168221,168221,0.0,4750638,方案/p3/n4/case_003_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T125434-afb8143942a04d5d991948391136926d/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T125434-afb8143942a04d5d991948391136926d/official_result.json.gz
case_003,3,5,145413,145413,0.0,5783280,方案/p3/n5/case_003_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T125727-b4c7043692334f1297300a5a22f68484/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T125727-b4c7043692334f1297300a5a22f68484/official_result.json.gz
case_004,1,2,199074,199074,0.0,110592,方案/p1/n2/case_004_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/evaluations/attempts/20260924T093705-bd1102044414423b90b30c5851fb4038/record.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/evaluations/attempts/20260924T093705-bd1102044414423b90b30c5851fb4038/official_result.json.gz
case_004,1,3,134043,134043,0.0,221184,方案/p1/n3/case_004_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123832-3f4097d0053a49c081c0732d9b44458e/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123832-3f4097d0053a49c081c0732d9b44458e/official_result.json.gz
case_004,1,4,104188,104188,0.0,331776,方案/p1/n4/case_004_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123835-cfc35333fc8840b685fdd2888dd516eb/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123835-cfc35333fc8840b685fdd2888dd516eb/official_result.json.gz
case_004,1,5,88341,88341,0.0,442368,方案/p1/n5/case_004_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/evaluations/attempts/20260924T093706-8ef6c1a5175647b095a944717ef1de95/record.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/evaluations/attempts/20260924T093706-8ef6c1a5175647b095a944717ef1de95/official_result.json.gz
case_004,2,2,198019,198019,0.0,125952,方案/p2/n2/case_004_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123826-9e1686cb4ce14a0ab48ece955462b368/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123826-9e1686cb4ce14a0ab48ece955462b368/official_result.json.gz
case_004,2,3,132570,132570,0.0,1723392,方案/p2/n3/case_004_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123828-7e5aeb5f5f9e46d19626a4eb606c4910/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123828-7e5aeb5f5f9e46d19626a4eb606c4910/official_result.json.gz
case_004,2,4,100636,100636,0.0,1474560,方案/p2/n4/case_004_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123832-f3987664278c492fab62477753fccf44/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123832-f3987664278c492fab62477753fccf44/official_result.json.gz
case_004,2,5,83270,81107,2.5975741563588284,2863104,方案/p2/n5/case_004_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T220621-284a42cc695b405f815a8bddd18c119f/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T220621-284a42cc695b405f815a8bddd18c119f/official_result.json.gz
case_004,3,2,198832,198832,0.0,125952,方案/p3/n2/case_004_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124618-62e216e4df6040ee86ad646fbedde3e2/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124618-62e216e4df6040ee86ad646fbedde3e2/official_result.json.gz
case_004,3,3,130725,130725,0.0,1474560,方案/p3/n3/case_004_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124629-97f512f41a0742cc9003441e1b0eeb2f/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124629-97f512f41a0742cc9003441e1b0eeb2f/official_result.json.gz
case_004,3,4,100126,100126,0.0,1474560,方案/p3/n4/case_004_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124635-87781db743354ea7ac7ab17a789c26ff/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124635-87781db743354ea7ac7ab17a789c26ff/official_result.json.gz
case_004,3,5,81107,81107,0.0,2863104,方案/p3/n5/case_004_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124645-2ba2e2296fcc42798bb32c7499ca1da9/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124645-2ba2e2296fcc42798bb32c7499ca1da9/official_result.json.gz
case_005,1,2,95439,95439,0.0,99558,方案/p1/n2/case_005_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123845-090ba936b2954640a71ba28836a27e40/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123845-090ba936b2954640a71ba28836a27e40/official_result.json.gz
case_005,1,3,95439,95439,0.0,99558,方案/p1/n3/case_005_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/实验记录/core_inheritance_v1/evaluations/attempts/20260924T131330-5057508336e0421ab6e3c789a0423306/record.json,/Users/liyu/Desktop/中文题目/A题研究/实验记录/core_inheritance_v1/evaluations/attempts/20260924T131330-5057508336e0421ab6e3c789a0423306/official_result.json.gz
case_005,1,4,94672,94672,0.0,261520,方案/p1/n4/case_005_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123903-e19199dd675c4c21b210738e86622de6/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123903-e19199dd675c4c21b210738e86622de6/official_result.json.gz
case_005,1,5,77072,77072,0.0,1173930,方案/p1/n5/case_005_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T133256-4e54100711574169a2fb208a5ca366b4/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T133256-4e54100711574169a2fb208a5ca366b4/official_result.json.gz
case_005,2,2,54868,54868,0.0,690726,方案/p2/n2/case_005_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123844-74132838067d45b4b87a198d3ff256e7/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123844-74132838067d45b4b87a198d3ff256e7/official_result.json.gz
case_005,2,3,39495,39495,0.0,1152972,方案/p2/n3/case_005_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123859-e59cf3dd40fb4366ae9ba5b33312a821/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123859-e59cf3dd40fb4366ae9ba5b33312a821/official_result.json.gz
case_005,2,4,38159,38159,0.0,1555314,方案/p2/n4/case_005_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123914-723d1f59063545b59d7e0ed7ba6bd3f5/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123914-723d1f59063545b59d7e0ed7ba6bd3f5/official_result.json.gz
case_005,2,5,38159,38159,0.0,1555314,方案/p2/n5/case_005_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/实验记录/core_inheritance_v1/evaluations/attempts/20260924T131332-2ea3ceff92574e7ab18f72ef1022716e/record.json,/Users/liyu/Desktop/中文题目/A题研究/实验记录/core_inheritance_v1/evaluations/attempts/20260924T131332-2ea3ceff92574e7ab18f72ef1022716e/official_result.json.gz
case_005,3,2,50990,50990,0.0,690726,方案/p3/n2/case_005_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124710-80a9d2cfc7444055b8d44d0edf11cfe2/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124710-80a9d2cfc7444055b8d44d0edf11cfe2/official_result.json.gz
case_005,3,3,37248,37248,0.0,1152972,方案/p3/n3/case_005_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124742-78e3de3f254e41e9bce0398d37b2be36/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124742-78e3de3f254e41e9bce0398d37b2be36/official_result.json.gz
case_005,3,4,34244,34244,0.0,1555314,方案/p3/n4/case_005_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124811-2c8389cc248d4e00aba0b6ebc5eaa9d8/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124811-2c8389cc248d4e00aba0b6ebc5eaa9d8/official_result.json.gz
case_005,3,5,34244,34188,0.16353229762877675,1555314,方案/p3/n5/case_005_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T220223-3a05bd1b9ce0478c8deb771c6b433dd8/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T220223-3a05bd1b9ce0478c8deb771c6b433dd8/official_result.json.gz
case_006,1,2,45998,45998,0.0,31104,方案/p1/n2/case_006_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123840-5dbe63453d7f48368860812cf6e5c234/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123840-5dbe63453d7f48368860812cf6e5c234/official_result.json.gz
case_006,1,3,31151,31151,0.0,13824,方案/p1/n3/case_006_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123842-41ecc3be800d44ccac6998de251ba566/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123842-41ecc3be800d44ccac6998de251ba566/official_result.json.gz
case_006,1,4,31151,31151,0.0,13824,方案/p1/n4/case_006_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/实验记录/core_inheritance_v1/evaluations/attempts/20260924T131335-a56d7621cd094c719cd9d3cdfdd1a743/record.json,/Users/liyu/Desktop/中文题目/A题研究/实验记录/core_inheritance_v1/evaluations/attempts/20260924T131335-a56d7621cd094c719cd9d3cdfdd1a743/official_result.json.gz
