case,problem,cores,method,status,makespan,logical_calls,new_calls,elapsed_seconds,stop_reason,failed_calls,generation_errors,summary_path
case_096,1,5,baseline,success,27019,10,10,2.3697172910906374,budget_or_pool_exhausted,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_096/p1_n5/baseline/summary.json
case_072,1,5,integrated,success,4767943,5,5,90.09003270894755,time_budget,3,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_072/p1_n5/integrated/summary.json
case_019,1,5,baseline,success,18981,12,12,1.8400670420378447,budget_or_pool_exhausted,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_019/p1_n5/baseline/summary.json
case_073,1,5,baseline,success,3517515,9,9,13.633432292030193,budget_or_pool_exhausted,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_073/p1_n5/baseline/summary.json
case_073,1,5,integrated,success,3218828,12,12,18.933985292096622,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_073/p1_n5/integrated/summary.json
case_032,1,5,integrated,success,10415,12,12,2.3842302919365466,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_032/p1_n5/integrated/summary.json
case_027,1,5,baseline,success,558753,7,7,2.3782315839780495,budget_or_pool_exhausted,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_027/p1_n5/baseline/summary.json
case_023,1,5,integrated,success,23846,12,12,2.590563042089343,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_023/p1_n5/integrated/summary.json
case_031,1,5,integrated,success,296108,12,12,40.829298999975435,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_031/p1_n5/integrated/summary.json
case_040,1,5,integrated,success,87145,12,12,10.537881374941207,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_040/p1_n5/integrated/summary.json
case_027,1,5,integrated,success,473151,12,12,5.719642249983735,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_027/p1_n5/integrated/summary.json
case_035,1,5,integrated,success,90079,12,12,13.53468704095576,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_035/p1_n5/integrated/summary.json
case_092,1,5,integrated,success,1618214,11,11,90.02271150005981,time_budget,1,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_092/p1_n5/integrated/summary.json
case_031,1,5,baseline,success,306213,9,9,28.014648374984972,budget_or_pool_exhausted,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_031/p1_n5/baseline/summary.json
