case,problem,cores,makespan,baseline,speedup,lower_bound,lb_ratio,upper_possible_reduction_pct,active_cores,compute_ops,largest_component_work_M_fraction,original_copy_bytes,added_copy_bytes,spill_bytes,stage,name,logical_calls,new_calls,cache_hits,elapsed,summary_path
case_003,1,4,539155,602212,1.1169552355074144,109698.0,4.914902732957756,79.65371739110275,4,13455,0.8732429032434502,1284264,294912,0,component,wcc_start0_simple_a4_per_core_lpt_mv,12,12,0,218.5995472909417,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_003/p1_n4/attempt_0001/summary.json
case_003,1,5,539607,602212,1.1160196216876357,87758.4,6.148778920308484,83.73660830938073,5,13455,0.8732429032434502,1284264,393216,0,component,wcc_start0_simple_a5_per_core_lpt_mv,12,10,2,162.2105830409564,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_003/p1_n5/attempt_0001/summary.json
case_004,1,2,199074,392357,1.9709103147573264,192807.0,1.0325040065972708,3.1480755899816137,2,777,0.009009009009009009,792576,110592,0,component,wcc_start0_simple_a2_per_core_lpt_mv,12,9,3,2.191529707983136,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_004/p1_n2/attempt_0001/summary.json
case_004,1,3,134043,392357,2.927098020784375,128538.0,1.0428278018951593,4.10689107226786,3,777,0.009009009009009009,792576,221184,0,component,wcc_start0_simple_a3_per_core_lpt_mv,12,12,0,2.779189959052019,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_004/p1_n3/attempt_0001/summary.json
case_004,1,4,104188,392357,3.765855952700887,96403.5,1.0807491429253087,7.471589818405189,4,777,0.009009009009009009,792576,331776,0,component,wcc_start0_simple_a4_per_core_lpt_mv,12,12,0,2.7763421250274405,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_004/p1_n4/attempt_0001/summary.json
case_004,1,5,88341,392357,4.441391879195391,77122.8,1.1454589304330236,12.698746901212344,5,777,0.009009009009009009,792576,442368,0,component,wcc_start0_simple_a5_per_core_lpt_mv,12,9,3,2.468807667028159,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_004/p1_n5/attempt_0001/summary.json
case_005,1,2,95439,95618,1.0018755435409004,31941.0,2.9879778341316805,66.53254958664697,1,4113,1.0,333414,99558,0,operation,stable_id_b2_p1_eft,9,8,1,7.3123927500564605,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_005/p1_n2/attempt_0001/summary.json
case_005,1,3,95618,95618,1.0,21294.0,4.490372874988259,77.7301344935054,1,4113,1.0,333414,0,0,component,wcc_start0_simple_a1_per_core_lpt_mv,9,9,0,8.139160207938403,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_005/p1_n3/attempt_0001/summary.json
case_005,1,4,94672,95618,1.0099923947946594,15970.5,5.927929620237313,83.13070390400541,1,4113,1.0,333414,261520,0,operation,stable_id_b4_p1_eft,9,9,0,8.44770275009796,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_005/p1_n4/attempt_0001/summary.json
case_005,1,5,94524,95618,1.0115737802039693,12776.4,7.398328167558937,86.48343277897676,1,4113,1.0,333414,338612,0,operation,stable_id_b5_p1_eft,9,8,1,6.124129374977201,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_005/p1_n5/attempt_0001/summary.json
case_006,1,2,45998,82837,1.8008826470716117,34500.0,1.3332753623188405,24.99673898865168,2,678,0.1097534833869239,543348,31104,0,component,wcc_task_1_mv_complement_batch2,12,10,2,1.6772764589404687,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_006/p1_n2/attempt_0001/summary.json
case_006,1,3,31151,82837,2.6592083721228854,23000.0,1.3543913043478262,26.16609418638246,3,678,0.1097534833869239,543348,13824,0,component,wcc_task_3_mv_complement_batch2,12,12,0,2.2545823749387637,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_006/p1_n3/attempt_0001/summary.json
case_006,1,4,31425,82837,2.636022275258552,17250.0,1.8217391304347825,45.1073985680191,4,678,0.1097534833869239,543348,13824,0,component,wcc_task_4_mv_complement_batch2,12,12,0,2.1978131670039147,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_006/p1_n4/attempt_0001/summary.json
case_006,1,5,31729,82837,2.6107661760534526,13800.0,2.2992028985507247,56.506665826215766,5,678,0.1097534833869239,543348,30080,0,component,wcc_task_5_mv_complement_batch2,12,10,2,1.9105175839504227,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_006/p1_n5/attempt_0001/summary.json
case_007,1,2,507494,1012562,1.9952196479170197,489510.0,1.0367387795959224,3.543687216006497,2,3885,0.0018018018018018018,1732608,27648,0,component,wcc_start0_simple_a2_per_core_lpt_mv,12,9,3,24.498619916965254,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_007/p1_n2/attempt_0001/summary.json
case_007,1,3,338094,1012562,2.994912657426633,326340.0,1.0360176503033647,3.476547942288244,3,3885,0.0018018018018018018,1732608,55296,0,component,wcc_start0_simple_a3_per_core_lpt_mv,12,12,0,30.380304250051267,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_007/p1_n3/attempt_0001/summary.json
case_007,1,4,254398,1012562,3.980227831979811,244755.0,1.039398582255725,3.7905172210473403,4,3885,0.0018018018018018018,1732608,82944,0,component,wcc_start0_simple_a4_per_core_lpt_mv,12,12,0,27.352506915922277,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_007/p1_n4/attempt_0001/summary.json
case_007,1,5,203834,1012562,4.967581463347626,195804.0,1.0410103981532552,3.9394801652324896,5,3885,0.0018018018018018018,1732608,110592,0,component,wcc_start0_simple_a5_per_core_lpt_mv,12,9,3,22.219661790993996,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_007/p1_n5/attempt_0001/summary.json
case_008,1,2,244266,487605,1.9962049568912579,125064.0,1.953127998464786,48.80007860283462,2,864,0.009259259259259259,2654424,0,0,component,wcc_start0_simple_a2_per_core_lpt_mv,12,9,3,2.69782462506555,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_008/p1_n2/attempt_0001/summary.json
case_008,1,3,163359,487605,2.984867684057811,83376.0,1.9593048359240068,48.961489725084014,3,864,0.009259259259259259,2654424,0,0,component,wcc_start0_simple_a3_per_core_lpt_mv,12,12,0,3.762946708011441,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_008/p1_n3/attempt_0001/summary.json
case_008,1,4,123060,487605,3.962335446123842,62532.0,1.9679524083669162,49.18576304241833,4,864,0.009259259259259259,2654424,0,0,component,wcc_start0_simple_a4_per_core_lpt_mv,12,12,0,4.059926582966,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_008/p1_n4/attempt_0001/summary.json
case_008,1,5,100603,487605,4.846823653370178,50025.6,2.011030352459541,50.274246294842094,5,864,0.009259259259259259,2654424,0,0,component,wcc_start0_simple_a5_per_core_lpt_mv,12,9,3,3.2588798330398276,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_008/p1_n5/attempt_0001/summary.json
case_009,1,2,92198,153261,1.66230286991041,59996.0,1.5367357823854924,34.9270049241849,2,5671,0.5230202578268877,495332,0,0,component,wcc_start0_simple_a2_per_core_lpt_mv,12,9,3,19.88233091600705,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_009/p1_n2/attempt_0001/summary.json
case_009,1,3,92207,153261,1.6621406183912284,39997.333333333336,2.3053286885792383,56.622237646454884,3,5671,0.5230202578268877,495332,24576,0,component,wcc_start0_simple_a3_per_core_lpt_mv,12,12,0,30.27950941596646,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_009/p1_n3/attempt_0001/summary.json
case_009,1,4,92216,153261,1.6619783985425522,29998.0,3.0740716047736516,67.46985338769844,4,5671,0.5230202578268877,495332,24576,0,component,wcc_task_3_mv_complement_batch2,12,12,0,28.165970582980663,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_009/p1_n4/attempt_0001/summary.json
case_009,1,5,92225,153261,1.6618162103551097,23998.4,3.842964530968731,73.9784223366766,5,5671,0.5230202578268877,495332,24576,0,component,wcc_task_4_mv_complement_batch2,12,10,2,20.097008624929003,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_009/p1_n5/attempt_0001/summary.json
case_010,1,2,45626,86969,1.9061280848638933,27748.0,1.6442986881937436,39.18379871126112,2,667,0.09038332212508406,384150,48384,0,component,wcc_start0_simple_a2_per_core_lpt_mv,12,10,2,2.0343169999541715,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_010/p1_n2/attempt_0001/summary.json
case_010,1,3,30689,86969,2.833881846915833,18498.666666666668,1.6589844313103645,39.72215886256747,3,667,0.09038332212508406,384150,48384,0,component,wcc_task_2_mv_complement_batch2,12,12,0,2.4283476249547675,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_010/p1_n3/attempt_0001/summary.json
case_010,1,4,29856,86969,2.9129488210075025,13874.0,2.1519388784777282,53.53027867095391,4,667,0.09038332212508406,384150,96768,0,component,wcc_start0_simple_a4_per_core_lpt_mv,12,12,0,2.6240667500533164,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_010/p1_n4/attempt_0001/summary.json
case_010,1,5,30054,86969,2.8937579024422706,11099.2,2.7077627216375952,63.069142210687424,5,667,0.09038332212508406,384150,362880,0,component,wcc_start0_affinity_a5_per_component_w15,12,10,2,2.332893749931827,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_010/p1_n5/attempt_0001/summary.json
case_011,1,2,92646,184697,1.9935777043801135,92224.0,1.004575815405968,0.45549726917514244,2,688,0.0625,606208,180224,0,component,wcc_start0_simple_a2_per_core_lpt_mv,12,9,3,2.1165495000313967,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_011/p1_n2/attempt_0001/summary.json
case_011,1,3,69625,184697,2.6527396768402154,61482.666666666664,1.132432989243581,11.694554159186122,3,688,0.0625,606208,1081344,0,component,wcc_start0_simple_a3_per_core_lpt_mv,12,12,0,3.0782755409600213,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_011/p1_n3/attempt_0001/summary.json
case_011,1,4,46880,184697,3.9397824232081913,46112.0,1.0166551006245663,1.6382252559726918,4,688,0.0625,606208,540672,0,component,wcc_start0_simple_a4_per_core_lpt_mv,12,12,0,2.9225662499666214,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_011/p1_n4/attempt_0001/summary.json
case_011,1,5,47287,184697,3.905872649988369,36889.6,1.2818517956280362,21.987861357244064,5,688,0.0625,606208,1622016,0,component,wcc_start0_simple_a5_per_core_lpt_mv,12,8,4,2.1850763340480626,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_011/p1_n5/attempt_0001/summary.json
case_012,1,2,29964,59088,1.971966359631558,17786.0,1.684695828179467,40.64210385796289,2,972,0.29461374114472055,554898,13248,0,component,wcc_task_1_mv_complement_batch2,12,10,2,3.362223875010386,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_012/p1_n2/attempt_0001/summary.json
case_012,1,3,19924,59088,2.965669544268219,11857.333333333334,1.6803103564601372,40.487184634946125,3,972,0.29461374114472055,554898,32832,0,component,wcc_task_3_mv_complement_batch2,12,12,0,4.49601875001099,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_012/p1_n3/attempt_0001/summary.json
case_012,1,4,17253,59088,3.424795687706486,9248.3,1.8655320437269554,46.39598910334435,4,972,0.29461374114472055,554898,39168,0,component,wcc_start0_simple_a4_per_core_lpt_mv,12,12,0,4.0001327090431005,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_012/p1_n4/attempt_0001/summary.json
case_012,1,5,14139,59088,4.17907914279652,9248.3,1.5288215131429561,34.590140745455834,5,972,0.29461374114472055,554898,29376,0,component,wcc_task_6_mv_complement_batch2,12,10,2,3.691134750028141,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_012/p1_n5/attempt_0001/summary.json
case_013,1,2,132198,263949,1.9966187083011846,131856.0,1.0025937386239534,0.25870285480870114,2,1968,0.0040650406504065045,2527232,8192,0,component,wcc_start0_simple_a2_per_core_lpt_mv,12,9,3,11.770590084022842,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_013/p1_n2/attempt_0001/summary.json
case_013,1,3,88351,263949,2.98750438591527,87904.0,1.0050850928285402,0.5059365485393541,3,1968,0.0040650406504065045,2527232,16384,0,component,wcc_start0_simple_a3_per_core_lpt_mv,12,12,0,14.005204749992117,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_013/p1_n3/attempt_0001/summary.json
case_013,1,4,66982,263949,3.9405959810098237,65928.0,1.0159871374833152,1.5735570750350814,4,1968,0.0040650406504065045,2527232,24576,0,component,wcc_start0_simple_a4_per_core_lpt_mv,12,12,0,15.884145041927695,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_013/p1_n4/attempt_0001/summary.json
case_013,1,5,54363,263949,4.855305998565201,52742.4,1.0307267018565707,2.981071684785608,5,1968,0.0040650406504065045,2527232,32768,0,component,wcc_start0_simple_a5_per_core_lpt_mv,12,9,3,11.36084162502084,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_013/p1_n5/attempt_0001/summary.json
case_014,1,2,9158772,17698626,1.9324234733652066,8612874.0,1.06338163080059,5.960384208712699,2,35705,0.0020271978900422787,9932740,165905592,0,component,wcc_start1_affinity_a2_per_component_w15,12,12,0,2032.355727374903,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_014/p1_n2/attempt_0001/summary.json
case_014,1,3,6186882,17698626,2.8606697202241778,5741916.0,1.0774943416100131,7.1920880340048505,3,35705,0.0020271978900422787,9932740,165905592,0,component,wcc_start0_affinity_a3_per_component_w15,12,12,0,2038.4882002919912,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_014/p1_n3/attempt_0001/summary.json
case_014,1,4,4792614,17698626,3.692896194018546,4306437.0,1.1128954167911895,10.144297037065787,4,35705,0.0020271978900422787,9932740,165905592,0,component,wcc_start0_affinity_a4_per_component_w15,12,12,0,2031.6641457090154,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_014/p1_n4/attempt_0001/summary.json
case_014,1,5,3859241,17698626,4.586038031830611,3445149.6,1.1201954771427052,10.729866313091097,5,35705,0.0020271978900422787,9932740,165905592,0,component,wcc_start0_affinity_a5_per_component_w15,12,12,0,1980.5145458329935,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_014/p1_n5/attempt_0001/summary.json
case_015,1,2,87789,177362,2.0203214525737847,50748.5,1.7298836418810408,42.19264372529587,2,1013,0.09917877447883765,884614,342532,24580,component,wcc_task_1_mv_complement_batch2,12,10,2,3.7189544170396402,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_015/p1_n2/attempt_0001/summary.json
case_015,1,3,61193,177362,2.898403412154985,33832.333333333336,1.808713558036198,44.71208580502126,3,1013,0.09917877447883765,884614,521472,0,component,wcc_task_2_mv_complement_batch2,12,12,0,4.818730375031009,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_015/p1_n3/attempt_0001/summary.json
case_015,1,4,50093,177362,3.5406543828479027,25374.25,1.9741667241396297,49.345716966442424,4,1013,0.09917877447883765,884614,532992,0,component,wcc_task_4_mv_complement_batch2,12,12,0,4.563907374977134,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_015/p1_n4/attempt_0001/summary.json
case_015,1,5,43411,177362,4.085646495127963,20299.4,2.1385361143679122,53.23904079611158,5,1013,0.09917877447883765,884614,321536,8192,component,wcc_start0_simple_a5_per_core_lpt_mv,12,9,3,3.7026870829286054,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_015/p1_n5/attempt_0001/summary.json
case_016,1,2,7715523,7715523,1.0,3857487.5,2.0001420613806267,50.00355128226563,1,17995,0.0,393218,0,0,component,wcc_start0_simple_a1_per_core_lpt_mv,9,8,1,177.90831254189834,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_016/p1_n2/attempt_0001/summary.json
case_016,1,3,7715523,7715523,1.0,2571658.3333333335,3.00021309207094,66.6690341881771,1,17995,0.0,393218,0,0,component,wcc_start0_simple_a1_per_core_lpt_mv,9,9,0,235.6890522079775,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_016/p1_n3/attempt_0001/summary.json
case_016,1,4,7715523,7715523,1.0,1928743.75,4.000284122761253,75.00177564113282,1,17995,0.0,393218,0,0,component,wcc_start0_simple_a1_per_core_lpt_mv,9,9,0,220.33031758398283,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_016/p1_n4/attempt_0001/summary.json
case_016,1,5,7715523,7715523,1.0,1542995.0,5.000355153451567,80.00142051290625,1,17995,0.0,393218,0,0,component,wcc_start0_simple_a1_per_core_lpt_mv,9,8,1,102.20067737495992,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_016/p1_n5/attempt_0001/summary.json
case_017,1,2,83047,162810,1.9604561272532421,55300.0,1.501754068716094,33.41120088624514,2,1373,0.06282097649186257,643862,87552,0,component,wcc_task_1_mv_complement_batch2,12,10,2,7.569238167023286,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_017/p1_n2/attempt_0001/summary.json
case_017,1,3,56882,162810,2.862241130761928,36866.666666666664,1.5429113924050635,35.187464106981714,3,1373,0.06282097649186257,643862,176256,0,component,wcc_task_4_mv_complement_batch2,12,12,0,11.442634999984875,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_017/p1_n3/attempt_0001/summary.json
case_017,1,4,42384,162810,3.841308040770102,27650.0,1.532875226039783,34.76311815779539,4,1373,0.06282097649186257,643862,259200,0,component,wcc_start0_simple_a4_per_core_lpt_mv,12,12,0,9.861308292020112,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_017/p1_n4/attempt_0001/summary.json
case_017,1,5,35496,162810,4.586713995943205,22120.0,1.6047016274864376,37.68311922470138,5,1373,0.06282097649186257,643862,340992,0,component,wcc_start0_simple_a5_per_core_lpt_mv,12,9,3,7.78230783296749,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_017/p1_n5/attempt_0001/summary.json
case_018,1,2,504468,1004367,1.9909429339422917,485660.0,1.0387266812173126,3.7282840536961737,2,2727,0.027731334678581725,1592848,3253248,1953792,component,wcc_start0_simple_a2_per_core_lpt_mv,12,9,3,21.901130042038858,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_018/p1_n2/attempt_0001/summary.json
case_018,1,3,339838,1004367,2.9554287631165437,323773.3333333333,1.0496170160194376,4.727154310779458,3,2727,0.027731334678581725,1592848,4075904,1601536,component,wcc_start0_simple_a3_per_core_lpt_mv,12,12,0,24.536568208015524,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_018/p1_n3/attempt_0001/summary.json
case_018,1,4,254635,1004367,3.9443399375576806,242830.0,1.0486142568875345,4.636047676085376,4,2727,0.027731334678581725,1592848,6577920,0,component,wcc_task_4_mv_complement_batch2,12,12,0,23.785172416944988,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_018/p1_n4/attempt_0001/summary.json
case_018,1,5,205917,1004367,4.8775331808447095,194264.0,1.0599853807190216,5.659076229743054,5,2727,0.027731334678581725,1592848,5320704,638976,component,wcc_start0_simple_a5_per_core_lpt_mv,12,9,3,16.9577045829501,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_018/p1_n5/attempt_0001/summary.json
case_019,1,2,41238,81144,1.9676996944565692,24218.0,1.7027830539268314,41.272612638828264,2,647,0.4211743331406392,186984,27168,0,component,wcc_task_1_mv_complement_batch2,12,9,3,2.8711221660487354,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_019/p1_n2/attempt_0001/summary.json
case_019,1,3,28986,81144,2.7994204098530324,16145.333333333334,1.795317532413907,44.29954690770257,3,647,0.4211743331406392,186984,27168,0,component,wcc_start0_simple_a3_per_core_lpt_mv,12,12,0,3.7075279160635546,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_019/p1_n3/attempt_0001/summary.json
case_019,1,4,24099,81144,3.3671106684924688,12234,1.9698381559588034,49.234408066724754,4,647,0.4211743331406392,186984,51744,0,component,wcc_start0_simple_a4_per_core_lpt_mv,12,12,0,3.8328514579916373,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_019/p1_n4/attempt_0001/summary.json
case_019,1,5,24169,81144,3.357358599859324,12234,1.9755599149910086,49.38143903347263,5,647,0.4211743331406392,186984,81504,0,component,wcc_start0_simple_a5_per_core_lpt_mv,12,10,2,3.425368959084153,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_019/p1_n5/attempt_0001/summary.json
case_020,1,2,266580,532746,1.9984469952734638,266304.0,1.001036409516943,0.10353364843573853,2,7008,0.0,2359296,0,0,component,wcc_start0_simple_a2_per_core_lpt_mv,12,9,3,84.57498233299702,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_020/p1_n2/attempt_0001/summary.json
