case,method,seed,makespan,logical_calls,new_calls,elapsed_seconds,timeouts,stop_reason,winner_plan
case_050,adaptive,42,78548,8,0,0.7371394999790937,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104624-6148c36a789a4292b0325c2bfc6f2e1c/plan.json
case_068,portfolio,73,268666,12,2,2.5300106670474634,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104622-37c91bd10f624fd78c21d2d7acafad8f/plan.json
case_015,hybrid,42,43411,12,0,0.25799804204143584,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104624-429e8c253d804f97a071ce1ac6c6f0c6/plan.json
case_048,hybrid,17,222220,12,0,0.2276826249435544,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104624-ff6b8db6631949cf86a0e3bc940da821/plan.json
case_027,hybrid,17,558753,7,0,0.39798387489281595,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104625-647a2b57ce584a8baeacaa275e423651/plan.json
case_042,hybrid,42,342220,10,0,0.933731957920827,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104626-64e080c6739942f0af24dea715b1f9c3/plan.json
case_066,hybrid,17,199671,12,0,1.0309147910447791,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104627-e8909222215f4fdcbfea47457a33cde2/plan.json
case_093,hybrid,42,15876,3,0,0.12550420803017914,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104627-f2b43489d2d54d4780aed4e389ecc990/plan.json
case_018,portfolio,17,205917,8,0,0.8631252500927076,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104627-3cb42e149a934ea1900c793b5d50f379/plan.json
case_018,adaptive,42,205917,5,0,0.49258533399552107,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104628-3b14d42ee400443c9e92b58100060b40/plan.json
case_027,adaptive,42,558753,6,0,0.3468726659193635,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104629-1ff3730de4424f3a8d4f9b07aa3b49ab/plan.json
case_066,adaptive,17,205062,12,0,0.8828732089605182,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104629-30a2668741ba48709212c80baa3f30c4/plan.json
case_064,portfolio,42,16463,12,0,0.19445404200814664,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104630-2a3242c8d330419e9fb7c7679540ccf6/plan.json
case_050,adaptive,73,78548,9,0,0.7383942920714617,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104630-b634f75c57594ccdbf2b44ece8da13a9/plan.json
case_037,hybrid,73,43013,8,0,0.21445770794525743,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104631-f1ec558bfd5049698d5aac6fd76e6c3c/plan.json
case_074,portfolio,42,332448,8,0,1.1052874169545248,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104632-25d99369859a4a4299edf0b6a0cbc644/plan.json
case_086,portfolio,73,95806,12,3,3.801721249939874,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104632-f51609d59bd440a1a3e826fc19789d00/plan.json
case_026,hybrid,42,41665,12,0,0.16937633301131427,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104636-3c6ed26139584f93ade4d9caf35006a4/plan.json
case_023,adaptive,17,24268,2,0,0.17153916705865413,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104636-5500a12b799943f3ba57a8a97b6f352a/plan.json
case_024,portfolio,73,1095114,12,6,13.079644666984677,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104630-2d7df18e3e664aadad4819b8e574b7ad/plan.json
case_009,hybrid,42,83830,12,0,0.946068917051889,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104637-e2eee0e4ce52426b9d0ec70e99587b8d/plan.json
case_002,adaptive,73,114925,12,0,0.27852033404633403,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104637-e68766d637b54486a693580e7f93aba7/plan.json
case_036,adaptive,42,187182,5,0,0.4522292499896139,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104637-734a2a8053064de6be68fc7d1afa9d73/plan.json
case_071,hybrid,73,13396,12,0,0.12298079195898026,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104637-ada5d00d0c0c4e77b5992d9972f9ae38/plan.json
case_081,hybrid,73,30943,7,0,0.4715194170130417,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104637-14aaec64b0e947919a9f1449736db174/plan.json
case_081,portfolio,73,30943,6,0,0.8339495830005035,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104638-a521132ad9114bf2a24ad91b31915494/plan.json
case_037,portfolio,17,43013,8,0,0.28700474998913705,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104639-c4fcfdbaedea440d8a4d7a41d7e8db27/plan.json
case_037,portfolio,73,43013,8,0,0.2792996669886634,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104639-31200bd2b0f043a59f62f0334c32b278/plan.json
case_071,hybrid,17,13396,12,0,0.12731741601601243,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104639-02ebc9545b164312af99e9ba0011356e/plan.json
case_038,portfolio,73,278976,6,0,1.934148250031285,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104639-632135cfe30c4668b2e22c61f15e24e6/plan.json
case_100,portfolio,42,57811,12,2,0.9006337500177324,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104640-8f2c7b79835f4bcaa633972baf12020b/plan.json
case_009,adaptive,42,83830,12,0,0.8090637919958681,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104640-579907bff4784854abd1ed9878667091/plan.json
case_071,adaptive,73,13396,12,0,0.1044712079456076,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104640-c60007c8d09b4719b0fdbf51c928679f/plan.json
case_038,adaptive,42,282242,4,0,0.9933230830356479,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104641-df62bd156a334c0aa1812c819b8a2baf/plan.json
case_038,portfolio,42,276053,6,0,1.9547238330123946,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104643-b7ee028b7e1246bca81864fa4ef3241a/plan.json
case_081,portfolio,42,30943,6,0,0.8080044590169564,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104643-fd5e75eaa02746c1bb5db12494f3c1d1/plan.json
case_066,portfolio,42,199028,12,1,4.0340587919345126,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104644-9b847805a72d4a22ba8ac63d74ea6bfa/plan.json
case_093,portfolio,17,15876,3,0,0.19215208303648978,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104644-6a7dcf3cee21437ebecd820da0869710/plan.json
case_064,adaptive,17,16469,12,0,0.11650016601197422,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104645-680d78a86ced414488d117b622021223/plan.json
case_086,hybrid,42,95409,12,0,0.662925791926682,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104645-d584c91c6c694c89a2d5e71eb20d664b/plan.json
case_018,portfolio,42,205917,8,0,0.9744982079137117,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104645-2d924977dcde46af91fb07996d14f441/plan.json
case_009,portfolio,17,83830,12,0,1.4801908750087023,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104645-8e893d43fec74da29ac03665f63ef716/plan.json
case_018,hybrid,17,205917,8,0,0.6161527090007439,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104646-f36f264f5f034af8a001d845e78072d5/plan.json
case_050,portfolio,17,77776,12,0,1.2663183329859748,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104647-b37a506a8cf14d029d5bd46597da3dfc/plan.json
case_074,portfolio,17,330675,8,0,1.1571695839520544,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104647-0054466ecef9465785cc3b5efe62391f/plan.json
case_002,adaptive,17,114925,12,0,0.2940381249645725,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104648-0b1f8671611846fe8876d5407e11f73e/plan.json
case_100,hybrid,17,57811,12,0,0.29187720792833716,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104648-ff84585fb62144ab84fcfd81c88caecb/plan.json
case_042,hybrid,73,342220,10,0,0.9929042080184445,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104649-4786e33569c94539ad83d7f07a6796c8/plan.json
case_086,portfolio,17,95806,12,0,1.0586582919349894,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104648-456e54df37784974b41b426e775ce98c/plan.json
case_068,adaptive,42,268666,12,0,0.7803727079881355,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104649-310a492972e44c139ca20ef8e2604c15/plan.json
case_074,adaptive,17,333227,4,0,0.6402150420472026,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104649-0e0dea2b7a4c4a09a869d3442959695e/plan.json
case_048,adaptive,17,211661,12,0,0.18952804105356336,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104650-318f5b3e2b4c4c2fb496bf4c79a292cb/plan.json
case_023,portfolio,73,23846,5,0,0.31206945795565844,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104650-0baf243623684ad9882cad004db885d6/plan.json
case_027,hybrid,42,558753,7,0,0.44224129198119044,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104650-6ea9009c112440b79493b0001fd5ccef/plan.json
case_100,portfolio,73,57811,12,0,0.418212249991484,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104650-9ac73affa90f4012b2ea142d5baac369/plan.json
case_038,hybrid,17,276281,7,0,1.176501499954611,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104651-200e767f2baf48959665b7c942ad0611/plan.json
case_086,hybrid,17,95717,12,0,0.6868255420122296,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104651-5dd2f35f2a1a4fcf9cb7c4755b7201bf/plan.json
case_036,adaptive,73,187182,5,0,0.46914533304516226,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104651-065a416146b842729f118ec3611bc6ed/plan.json
case_036,portfolio,17,187182,6,0,0.8205607500858605,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104651-2300ea4ba9dd4544894cbe5b444c622c/plan.json
case_081,adaptive,17,30943,5,0,0.3492235420271754,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104652-1397dbe364694b72b8eea5ed0c3e3e1c/plan.json
case_064,hybrid,17,16370,12,0,0.13842233398463577,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104652-9233fb2500834fb4aa8ff6d613eaebea/plan.json
case_074,adaptive,73,334798,4,0,0.6520299999974668,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104652-c9c08d7003b7451390518a88c999070b/plan.json
case_024,adaptive,73,2555343,6,0,0.5979380840435624,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104652-c0985a66256d470586c2de3ecc3f8761/plan.json
case_036,hybrid,73,187182,6,0,0.5734506249427795,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104652-7d0e8611cf6148c29d098f655b4be8c7/plan.json
case_026,adaptive,42,41688,12,0,0.14857708394993097,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104653-7183e7a883ef4faba4332ee160bd25dc/plan.json
case_064,hybrid,73,16370,12,0,0.14012999995611608,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104653-6836776352d64d7d94ae25a3713ef942/plan.json
case_026,portfolio,73,41665,12,1,0.3577757499879226,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104653-a55111747d244bd09f7c26cdc44debe6/plan.json
case_036,hybrid,17,187182,6,0,0.5688932919874787,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104653-d8b5b4f3712d48e58cce9565ca2b6ea5/plan.json
case_066,adaptive,42,205062,12,0,0.9195592500036582,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104654-9c6e5fe000004b3e9ec52c7e778aa50c/plan.json
case_002,hybrid,42,114539,12,0,0.35570304200518876,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104654-f36a67b0cca74d15af9cdd92103a6dbc/plan.json
case_081,portfolio,17,30943,6,0,0.8214124999940395,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104654-25b9c07e1c9349b7b87fcec14bbe3cd3/plan.json
case_081,hybrid,17,30943,7,0,0.49366870801895857,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104655-a3f1504d2a1d42cc93c1b8c85cae2fbc/plan.json
case_100,portfolio,17,57811,12,0,0.4318532079923898,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104655-a54673f129074703a3d540d204132070/plan.json
case_037,hybrid,17,43013,8,0,0.24076387495733798,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104655-4b24d7b9826d4a7d9f3a86e09070bc6a/plan.json
case_027,hybrid,73,558753,7,0,0.47034970903769135,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104655-f3650250aa604311a0f250a54f4fc95f/plan.json
case_066,hybrid,73,200034,12,0,1.1368277500150725,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104656-85d26eb6ef724d96a34d6ec57327006c/plan.json
case_009,portfolio,42,83830,12,0,1.452419542009011,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104656-dcf7e7e8e9884da1b1b3b159399364ae/plan.json
case_024,hybrid,17,2555343,7,0,0.7751239580102265,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104656-770afcef06df462db72c2cdbb88efb6c/plan.json
case_071,portfolio,42,11491,12,2,0.4427924999035895,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104657-fe0e2fceef08449c8c8c1eec4c309525/plan.json
case_100,adaptive,17,57971,12,0,0.24104424996767193,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104657-67b698ac5f45460fb7a2c36aeb8c3259/plan.json
case_024,hybrid,73,2555343,7,0,0.7756340838968754,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104657-ac19c66b8e8d42bdabe2dac0010f5360/plan.json
case_068,adaptive,17,268666,12,0,0.7985890420386568,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104658-fbb8c9fcbd9946969ce17b9b6befc3f4/plan.json
case_026,hybrid,73,41665,12,0,0.170100791961886,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104658-3c2e2e2b37eb43f8acf93322e6dce95d/plan.json
case_015,hybrid,73,43411,12,0,0.27076779201161116,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104658-2fbcc9c9f28e4ea9aa1d6de5143a546c/plan.json
case_017,adaptive,73,35496,4,0,0.24981725006364286,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104658-403dd66a11c248879d80e3553b103594/plan.json
case_081,adaptive,73,30943,5,0,0.3516175829572603,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104658-f7a753f9cabf4d8fa4d2e9401d2bb47c/plan.json
case_093,adaptive,17,15876,2,0,0.1040709160733968,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104659-2a843202dc7043d1b145bf5b44bae42d/plan.json
case_037,adaptive,42,43013,7,0,0.19148799998220056,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104659-037c3165b4a843af8eeb432231b27a00/plan.json
case_026,portfolio,42,41665,12,0,0.23747004196047783,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104659-8f4c4eef55394e5faf8f752cf88be965/plan.json
case_036,portfolio,42,187182,6,0,0.8318952090339735,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104659-97d8230400894503a2683c244049eadf/plan.json
case_066,adaptive,73,205062,12,0,0.9931457500206307,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104700-40521dcdaeb7432090baa4ad837ec2aa/plan.json
case_023,hybrid,17,23846,5,0,0.21979075006674975,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104700-2b201026596340ab9cd23b8d316fb0c9/plan.json
case_074,hybrid,42,332448,8,0,0.7886334590148181,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104701-acd8a8fde3ac48128e17f752711abe29/plan.json
case_042,hybrid,17,342220,10,0,1.0030035830568522,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104701-30d477dd768d4e52844e6568b99da746/plan.json
case_048,hybrid,42,222220,12,0,0.2375091250287369,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104701-1ab093f459e74ba58d72a47acdce9487/plan.json
case_037,hybrid,42,43013,8,0,0.21579450007993728,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104701-fcbefef5b22b452a8fa33a6d320fe96e/plan.json
case_024,adaptive,17,2555343,6,0,0.5932430420070887,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104701-3e6995ea43f14a7ebb2119a33554c3aa/plan.json
case_071,portfolio,17,12170,12,0,0.17890604201238602,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104702-559803a5abc94953b4add824a0690317/plan.json
