case,problem,cores,makespan,added_copy,original_singlecore,speedup,source,source_plan,plan,verification,paper_plan_sha256
case_002,3,4,63304,595968,261945,4.137890180715279,team13,A题研究/直接迭代/第十三轮成果/方案/p3/n4/case_002_multicore_res.json,plans/p3/n4/case_002_multicore_res.json,inherited_team13_success,2c450ee9dc39409f9eb33ab42370bf567ebf927693ef104d821a810778e644f0
case_002,3,5,51207,642048,261945,5.115413908254731,team13,A题研究/直接迭代/第十三轮成果/方案/p3/n5/case_002_multicore_res.json,plans/p3/n5/case_002_multicore_res.json,inherited_team13_success,113cd97f3714bc73a5773b4fb270f6d372bc51b807d138bc72123f03353dfa28
case_003,1,1,588859,683810,602212,1.0226760565772113,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/从头P1本地重试47_v1/slots/case_003/p1_n1/mature_prefix/evaluations/attempts/20260926T100129-0902cf5127824bf483ddd9faab21fdbe/plan.json,plans/p1/n1/case_003_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,6f48054ce5365745c9edb078efa2150bf521ad3cd137ff01102b836d0cf08ab6
case_003,1,2,518040,1839404,602212,1.1624816616477491,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/从头P1本地重试47_v1/slots/case_003/p1_n2/mature_prefix/evaluations/attempts/20260926T100858-a002fa07ac1347758d9694d208e3bbd8/plan.json,plans/p1/n2/case_003_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,c2734387ff34a80417aeb8c4ad5a3fc7f27257ee6b7e6406c7b4b6a9f228c48e
case_003,1,3,504527,1839404,602212,1.1936169917566355,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/从头P1本地重试47_v1/slots/case_003/p1_n3/mature_prefix/evaluations/attempts/20260926T100904-92c128a746b34d589475e8e9812c0bc4/plan.json,plans/p1/n3/case_003_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,87b53a75672a1cbe2fcf186be2ebb1c1b884e16b2b40a9a363b5b4c762bd9557
case_003,1,4,322298,6080450,602212,1.8684943747711744,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/从头P1本地重试47_v1/slots/case_003/p1_n4/mature_prefix/evaluations/attempts/20260926T101725-f1c88a61dc8c47d5a82088dd757a03fd/plan.json,plans/p1/n4/case_003_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,0030cd2ceebd8e48964593ddda65582d4be3d60a9173199247aff04bc1ba181d
case_003,1,5,221109,9306974,602212,2.723597863497189,continuous_panel_mature,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/持续联合冲刺_20260926/正式75配置_v2_6并发/configurations/case_003_p1_n5/mature/attempt_001/mature_prefix/evaluations/attempts/20260926T133051-03b903b4bcbf41a8a77c50c306859e2a/plan.json,plans/p1/n5/case_003_multicore_res.json,independent_time_copy_cache_and_input_hash_match,c75cfa46a6ffb5c7eb7c05bf65f1aae606f7b703590fddfe1c8a2909c65dc199
case_003,2,1,453222,745240,602212,1.3287351452489067,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发从头P23全1000_v1/slots/case_003/p2_n1/evaluations/attempts/20260926T060550-9c51f6eddb774a49aea00e2fdb33784f/plan.json,plans/p2/n1/case_003_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,ba614b2610619eae52d34d9e358a8db81a3677e5141462fec7eacfa5f945a066
case_003,2,2,281188,7582218,602212,2.1416703415508485,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发从头P23全1000_v1/slots/case_003/p2_n2/evaluations/attempts/20260926T055452-8b784ae663b84f9da9e5521571d7eec8/plan.json,plans/p2/n2/case_003_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,b5664b992a0094679965505fd9f389bbc8de89672e69b47f9745d1e4eeeff96c
case_003,2,3,201189,3430748,602212,2.993265039341117,team13,A题研究/直接迭代/第十三轮成果/方案/p2/n3/case_003_multicore_res.json,plans/p2/n3/case_003_multicore_res.json,inherited_team13_success,fc1263b0b8b9e1ecc54f56b6f168c5f6b3339c9bd77597a66e187536445eb2f5
case_003,2,4,173817,4750638,602212,3.4646323432115387,team13,A题研究/直接迭代/第十三轮成果/方案/p2/n4/case_003_multicore_res.json,plans/p2/n4/case_003_multicore_res.json,inherited_team13_success,1f8e3f547142185625343ccfc6111e1943d11d23132038a39734e93d31d47744
case_003,2,5,148821,5783280,602212,4.046552569865812,hardware_frontier_v1,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发全图顺序_v1/case_003/p2/evaluations/attempts/20260926T035907-87b589a3cf294d43bc817c1b937dc428/plan.json,plans/p2/n5/case_003_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,413e51fd82701540e21a6d37e675860b37845a6c7e9016079bc12fb2e385a764
case_003,3,1,453222,745240,602212,1.3287351452489067,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发从头P23全1000_v1/slots/case_003/p3_n1/evaluations/attempts/20260926T044002-dae25694eb2a41c996ce7060764d03f3/plan.json,plans/p3/n1/case_003_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,ba614b2610619eae52d34d9e358a8db81a3677e5141462fec7eacfa5f945a066
case_003,3,2,279980,7582474,602212,2.1509107793413813,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发从头P23全1000_v1/slots/case_003/p3_n2/evaluations/attempts/20260926T055819-da819abb8f5a4d50aea52cc7026bdd96/plan.json,plans/p3/n2/case_003_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,9c3443960c274723100555e688c17e5d060bcf583c1673a10140540ba5aad8f2
case_003,3,3,200944,3430748,602212,2.9969145632614063,team13,A题研究/直接迭代/第十三轮成果/方案/p3/n3/case_003_multicore_res.json,plans/p3/n3/case_003_multicore_res.json,inherited_team13_success,fc1263b0b8b9e1ecc54f56b6f168c5f6b3339c9bd77597a66e187536445eb2f5
case_003,3,4,168221,4750638,602212,3.5798859833195618,team13,A题研究/直接迭代/第十三轮成果/方案/p3/n4/case_003_multicore_res.json,plans/p3/n4/case_003_multicore_res.json,inherited_team13_success,4e6922dfb09a126e408945e31de40bda3b7f702616fe68d6aab8f1a38691dd05
case_003,3,5,132837,5783280,602212,4.533465826539293,hardware_frontier_v1,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发全图顺序_v1/case_003/p3/evaluations/attempts/20260926T035908-b2bb4c8f47bf44c6a52421405fdeedf2/plan.json,plans/p3/n5/case_003_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,413e51fd82701540e21a6d37e675860b37845a6c7e9016079bc12fb2e385a764
case_004,1,1,392357,0,392357,1.0,team13,A题研究/直接迭代/第十三轮成果/方案/p1/n1/case_004_multicore_res.json,plans/p1/n1/case_004_multicore_res.json,inherited_team13_success,cb4bcaed4e541e97e1abf1a0bc50f4a425932d88836bc7585cace7348a4e21ee
case_004,1,2,199074,110592,392357,1.9709103147573264,team13,A题研究/直接迭代/第十三轮成果/方案/p1/n2/case_004_multicore_res.json,plans/p1/n2/case_004_multicore_res.json,inherited_team13_success,4f46e924687da2742a5db8810026953f8ce13891647ca67c338972fda2b1b313
case_004,1,3,134043,221184,392357,2.927098020784375,team13,A题研究/直接迭代/第十三轮成果/方案/p1/n3/case_004_multicore_res.json,plans/p1/n3/case_004_multicore_res.json,inherited_team13_success,dd36d74e9817ae13911311225a816f96700f9d07d90a217a1cf99741c07c364c
case_004,1,4,104188,331776,392357,3.765855952700887,team13,A题研究/直接迭代/第十三轮成果/方案/p1/n4/case_004_multicore_res.json,plans/p1/n4/case_004_multicore_res.json,inherited_team13_success,d02836041d3791b67a8a99f05dfa7a8db965c0b0802ae17c14116ac2a56aa580
case_004,1,5,88341,442368,392357,4.441391879195391,team13,A题研究/直接迭代/第十三轮成果/方案/p1/n5/case_004_multicore_res.json,plans/p1/n5/case_004_multicore_res.json,inherited_team13_success,d471bbfdf2f7856b815120841d9a892788b93a75ada02d57aabf8560bb2f618d
case_004,2,1,386363,0,392357,1.01551390790526,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发从头P23全1000_v1/slots/case_004/p2_n1/mature_prefix/evaluations/attempts/20260926T051402-250868cab5ef49d4ac20f434c1162771/plan.json,plans/p2/n1/case_004_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,1846105f20b3dfde5742837be5ae3f07a6b6b17361e10e2847b83b30ae549d17
case_004,2,2,194802,125952,392357,2.014132298436361,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发从头P23全1000_v1/slots/case_004/p2_n2/mature_prefix/evaluations/attempts/20260926T060641-53823b3520bc4e4ca7c1c39503826855/plan.json,plans/p2/n2/case_004_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,883499664345fc9a595450adb90db5f7215cd0d7588e9a10b8ba52149514a436
case_004,2,3,130725,221184,392357,3.001392235609103,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发从头P23全1000_v1/slots/case_004/p2_n3/mature_prefix/evaluations/attempts/20260926T045812-56ae4da6a1bf4437880ba1038bea3f99/plan.json,plans/p2/n3/case_004_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,86eeda08548d690f5d7942a2ffb5ffcdd6b3aa0dbc8d454709d8e20b2817be0d
case_004,2,4,100126,331776,392357,3.9186325230209937,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发从头P23全1000_v1/slots/case_004/p2_n4/mature_prefix/evaluations/attempts/20260926T061147-1a2b568945264096967e5c5801958580/plan.json,plans/p2/n4/case_004_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,5ccc1b97627ff0114332321af5ec21bb386fbb4cbfb04227df56eca7d192597e
case_004,2,5,81107,2863104,392357,4.837523271727471,team13,A题研究/直接迭代/第十三轮成果/方案/p2/n5/case_004_multicore_res.json,plans/p2/n5/case_004_multicore_res.json,inherited_team13_success,c5803064dea60b2fa25ecd5b2eb77194d03492aa199503cdc15ca0d26b004c0d
case_004,3,1,386363,0,392357,1.01551390790526,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发从头P23全1000_v1/slots/case_004/p3_n1/mature_prefix/evaluations/attempts/20260926T054048-268b8b4fe17f499086d61fce851cb90f/plan.json,plans/p3/n1/case_004_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,1846105f20b3dfde5742837be5ae3f07a6b6b17361e10e2847b83b30ae549d17
case_004,3,2,194802,125952,392357,2.014132298436361,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发从头P23全1000_v1/slots/case_004/p3_n2/mature_prefix/evaluations/attempts/20260926T062617-d1d19ee8abef42148cdbbdb776dd4676/plan.json,plans/p3/n2/case_004_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,883499664345fc9a595450adb90db5f7215cd0d7588e9a10b8ba52149514a436
case_004,3,3,130725,221184,392357,3.001392235609103,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发从头P23全1000_v1/slots/case_004/p3_n3/mature_prefix/evaluations/attempts/20260926T045922-f6b291350b7746a9b6fecbdde3b46e92/plan.json,plans/p3/n3/case_004_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,86eeda08548d690f5d7942a2ffb5ffcdd6b3aa0dbc8d454709d8e20b2817be0d
case_004,3,4,100126,1093632,392357,3.9186325230209937,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发从头P23全1000_v1/slots/case_004/p3_n4/evaluations/attempts/20260926T045317-bea75f3a026d4cf7a7cd01fa59844099/plan.json,plans/p3/n4/case_004_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,07b39ccdf0422f0042e339f4b49609f916634359d7c6297b631923f0728d3abe
case_004,3,5,81107,2863104,392357,4.837523271727471,team13,A题研究/直接迭代/第十三轮成果/方案/p3/n5/case_004_multicore_res.json,plans/p3/n5/case_004_multicore_res.json,inherited_team13_success,c5803064dea60b2fa25ecd5b2eb77194d03492aa199503cdc15ca0d26b004c0d
case_005,1,1,95439,99558,95618,1.0018755435409004,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/远端P1恢复437_v1/plans/p1/n1/case_005.json,plans/p1/n1/case_005_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,c1c56ef819bede25febd507d635efd68fbb96ddca5e4186f5e1e3e3608777cbb
case_005,1,2,82206,629612,95618,1.1631511081916162,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/远端P1恢复437_v1/plans/p1/n2/case_005.json,plans/p1/n2/case_005_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,88c4f75601546034d0ad44dd4153e49327ff5358973e8c1321c166dcd2143a84
case_005,1,3,69681,2543130,95618,1.3722248532598555,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/远端P1恢复437_v1/plans/p1/n3/case_005.json,plans/p1/n3/case_005_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,acc1e24b0c635188c4de29356f8f543af5d95f59af5eb0d7a26e06c3ab612569
case_005,1,4,48777,2086306,95618,1.9603091621050905,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/远端P1恢复437_v1/plans/p1/n4/case_005.json,plans/p1/n4/case_005_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,f8d159eb2f081b82e870444796c2c38adfc5cc905359ec413858fb6d486ac760
case_005,1,5,49343,2085056,95618,1.9378229941430396,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发关键链收缩P1_v1/case_005/p1/evaluations/attempts/20260926T042752-c08ecf6b8f7a42099ea339d632f5c9b8/plan.json,plans/p1/n5/case_005_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,dbc22746a11bec0ca3597889dc7449ca1de901036d472082cf03429a8ecae0a4
case_005,2,1,73787,0,95618,1.2958651252930733,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发从头P23全1000_v1/slots/case_005/p2_n1/evaluations/attempts/20260926T054648-fbe5a5d76c5c4343b1b1a2b7323595ea/plan.json,plans/p2/n1/case_005_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,f7e8f4cd111e6b14b1533d812a7f429726273b780b179d25ff3f18d592956c24
case_005,2,2,40820,710982,95618,2.3424301812836843,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发从头P23全1000_v1/slots/case_005/p2_n2/evaluations/attempts/20260926T061708-83efad3d0cf5404f9409a816cb5394f7/plan.json,plans/p2/n2/case_005_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,a7cfbdfdc1c1edfd9eaa1b2fd3942c3f16ec00bff41ce9465e841779494113e2
case_005,2,3,34420,1262476,95618,2.7779779198140617,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发从头P23全1000_v1/slots/case_005/p2_n3/evaluations/attempts/20260926T051839-4fa00802cd93445fbadea0f1cd5961ee/plan.json,plans/p2/n3/case_005_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,7ee7166c3a82f8e336743f000367839127d9034f6815ce0894dbcc1c0b276085
case_005,2,4,35287,1555314,95618,2.7097231274973788,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发从头P23全1000_v1/slots/case_005/p2_n4/evaluations/attempts/20260926T043556-229409cf46ce480f996febf2961737a4/plan.json,plans/p2/n4/case_005_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,f99cdd3e23a3d368f91fba0f83db0e6931758796798d632f9f448b54537bffa0
case_005,2,5,35106,1546098,95618,2.723693955449211,hardware_frontier_v1,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发全图顺序_v1/case_005/p2/evaluations/attempts/20260926T035905-ae597864344d4b6ab68a3470372cdaf6/plan.json,plans/p2/n5/case_005_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,3b0cf000eefec5334d8158ad7cb7449d71fec32f2f888a064ca058aebf0db0b3
case_005,3,1,73787,0,95618,1.2958651252930733,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发从头P23全1000_v1/slots/case_005/p3_n1/evaluations/attempts/20260926T055158-a17dd89e43e14ab49d6e1fbf3ee43d91/plan.json,plans/p3/n1/case_005_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,f7e8f4cd111e6b14b1533d812a7f429726273b780b179d25ff3f18d592956c24
case_005,3,2,40429,710982,95618,2.3650844690692323,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发从头P23全1000_v1/slots/case_005/p3_n2/evaluations/attempts/20260926T054752-930a33ff15b243b882acc5395fd68373/plan.json,plans/p3/n2/case_005_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,a7cfbdfdc1c1edfd9eaa1b2fd3942c3f16ec00bff41ce9465e841779494113e2
