case,cores,method,index,name,phase,generation,accepted,status,cache_hit,makespan,added_copy,plan_sha256
case_069,5,original,3,selective_local_quantile_stable_id_x1_a5_eft,partition,,False,success,False,25643,199306,a4ed2574832382ba8cc009da115d1760ffd44d7a207c1aba07107eee8e9ee138
case_069,5,original,4,selective_phase_band_critical_path_x2_a5_eft,partition,,True,success,False,16908,622330,25ef0417d864a33ee30af21c10b2be5073bba7624c22778e4283662b5e5e1378
case_069,5,original,5,selective_phase_band_critical_path_x1_a5_eft,partition,,False,success,False,17284,435596,d3358d4229a919c40f8c4160437c89d2afbe4a0bd00b4d68e590d6d9273fb932
case_069,5,original,6,selective_phase_band_stable_id_x2_a5_eft,partition,,False,success,False,16908,622330,8f7cf0fd91a0a112b6d96157ba21a9b7e1df8b22a37512f86a9f941d97664744
case_069,5,original,7,selective_phase_band_stable_id_x1_a5_eft,partition,,False,success,False,17284,435596,6963d358a08915a45d3b0b820509f488c09677affba258aa708ccdd0f6da998a
case_069,5,original,8,selective_phase_band_critical_path_x2_a5_balanced,partition,,False,success,False,19793,622330,14c5ad26e742016c8819cac34b7cd55f640629b22daf5d6888553863e973fe1e
case_069,5,original,9,merge16,task_refine,,False,success,False,18873,551482,bbb5603fb95f013c128b0c797d162816ec6b3ebb627b8f71ffcb4a05e5b95e0f
case_069,5,original,10,local_duration,task_refine,,False,success,False,17643,622330,85862fa3ade2b2c266559f1a69cc99f83f5a918067c23aed3da774f9e2ab87ae
case_069,5,original,11,observed_duration,task_refine,,True,success,False,16818,622330,99f097c2a5962bdb070d725efb3c66d43117d0cfb583acd2dbf675e8ad535600
case_069,5,original,12,selective_phase_band_critical_path_x1_a5_balanced,partition_fallback,,False,success,False,17731,435596,cbb62e26a37284b28a41a498ceed117d30ef6853dbcca5c88490f1460b6abe2b
case_074,4,iterative,1,wcc_start0_simple_a4_per_core_lpt_mv,component,0,True,success,False,424418,8007680,99e2fc94f98ce189edcf9625fb5719fd0f13c35e404bffae4b2a4404b3b02577
case_074,4,iterative,2,wcc_task_3_mv_complement_batch2,component,0,True,success,False,423479,8101888,946f8378498a990c5c93d6120c0453d7a29615c9272eed30f509dbe896e70377
case_074,4,iterative,3,selective_whole_critical_path_x1_a4_eft,partition,0,False,success,False,433472,14401536,0cb62fdbc52e29cafda20c5dc6ae4aab00ce43acf7e38a7121799b3b645936e6
case_074,4,iterative,4,selective_local_quantile_stable_id_x1_a4_eft,partition,0,False,success,False,433472,14401536,4c1145d61d11e55ee435c0d3beb75f14e5131012d7059e41ba04da368c026277
case_074,4,iterative,5,local_duration,task_refine,1,True,success,False,416358,8101888,0f7358edb85bbeaa011f4d89fe235e4361f11db87e94be0b69305ce7235cf137
case_074,4,iterative,6,observed_duration,task_refine,2,True,success,False,414388,8101888,004c31014a1b7b639f378d3186f7fb10de007e49b90c757ba81f4cbdf9f4a605
case_074,4,iterative,7,observed_duration,task_refine,3,False,success,False,414388,8101888,122a48ac39933b518adb0e7d76f372c15b97ae1ea39f2579b842b7570c691bff
case_074,4,iterative,8,merge1024,task_refine,3,False,success,False,420821,7278600,d66b18568bf6bbad7b7152a51c979c984bc36515136e297deae0f9053bbca36b
case_074,4,iterative,9,split512,task_refine,3,False,success,False,414415,8503296,5a588afdc7ea49e6b599ca19fd84d2161b310b287c07243de868da9c8434bdab
case_074,4,original,1,wcc_start0_simple_a4_per_core_lpt_mv,component,,True,success,False,424418,8007680,99e2fc94f98ce189edcf9625fb5719fd0f13c35e404bffae4b2a4404b3b02577
case_074,4,original,2,wcc_task_3_mv_complement_batch2,component,,True,success,False,423479,8101888,946f8378498a990c5c93d6120c0453d7a29615c9272eed30f509dbe896e70377
case_074,4,original,3,selective_whole_critical_path_x1_a4_eft,partition,,False,success,False,433472,14401536,0cb62fdbc52e29cafda20c5dc6ae4aab00ce43acf7e38a7121799b3b645936e6
case_074,4,original,4,selective_local_quantile_stable_id_x1_a4_eft,partition,,False,success,False,433472,14401536,4c1145d61d11e55ee435c0d3beb75f14e5131012d7059e41ba04da368c026277
case_074,4,original,5,local_duration,task_refine,,True,success,False,416358,8101888,0f7358edb85bbeaa011f4d89fe235e4361f11db87e94be0b69305ce7235cf137
case_074,4,original,6,observed_duration,task_refine,,True,success,False,414388,8101888,122a48ac39933b518adb0e7d76f372c15b97ae1ea39f2579b842b7570c691bff
case_074,4,original,7,merge1024,task_refine,,False,success,False,423030,6746112,10df1573c8ebff4e4d20138550d0f64a814fb95e384d53fd5a6d3d12870453f9
case_074,4,original,8,merge2048,task_refine,,False,success,False,422556,6426624,fc2ef30539bbb12b2a8597bdf417f77682de895454203d897042f470ef426029
case_074,4,original,9,split512,task_refine,,False,success,False,418983,8503296,4e3da1b87e713bb40805d5ff14bee6ec1c4be531c68ff26cda4d8bd8aea7f5e7
case_074,4,single,1,wcc_start0_simple_a4_per_core_lpt_mv,component,0,True,success,False,424418,8007680,99e2fc94f98ce189edcf9625fb5719fd0f13c35e404bffae4b2a4404b3b02577
case_074,4,single,2,wcc_task_3_mv_complement_batch2,component,0,True,success,False,423479,8101888,946f8378498a990c5c93d6120c0453d7a29615c9272eed30f509dbe896e70377
case_074,4,single,3,selective_whole_critical_path_x1_a4_eft,partition,0,False,success,False,433472,14401536,0cb62fdbc52e29cafda20c5dc6ae4aab00ce43acf7e38a7121799b3b645936e6
case_074,4,single,4,selective_local_quantile_stable_id_x1_a4_eft,partition,0,False,success,False,433472,14401536,4c1145d61d11e55ee435c0d3beb75f14e5131012d7059e41ba04da368c026277
case_074,4,single,5,local_duration,task_refine,1,True,success,False,416358,8101888,0f7358edb85bbeaa011f4d89fe235e4361f11db87e94be0b69305ce7235cf137
case_074,4,single,6,observed_duration,task_refine,1,True,success,False,414388,8101888,122a48ac39933b518adb0e7d76f372c15b97ae1ea39f2579b842b7570c691bff
case_074,4,single,7,merge1024,task_refine,1,False,success,False,423030,6746112,10df1573c8ebff4e4d20138550d0f64a814fb95e384d53fd5a6d3d12870453f9
case_074,4,single,8,merge2048,task_refine,1,False,success,False,422556,6426624,fc2ef30539bbb12b2a8597bdf417f77682de895454203d897042f470ef426029
case_074,4,single,9,split512,task_refine,1,False,success,False,418983,8503296,4e3da1b87e713bb40805d5ff14bee6ec1c4be531c68ff26cda4d8bd8aea7f5e7
case_002,5,original,1,wcc_start0_simple_a1_per_core_lpt_mv,component,,True,success,False,261945,0,69dee48e5a3ef0157297f68628d0e190988babb2ca3ce8c1f6425282ae50e9e2
case_002,5,original,2,selective_whole_critical_path_x1_a5_eft,partition,,False,success,False,261945,0,14f6610f669689f7dc835f20881ef75644c2c318d837f342742f777e6d400e58
case_002,5,original,3,selective_local_quantile_stable_id_x2_a5_eft,partition,,True,success,False,154153,665088,35f71befc83ed1c4a13461c39ccd39326d138620d807df4214edb15cb8fdbfc7
case_002,5,original,4,selective_phase_band_critical_path_x1_a5_eft,partition,,True,success,False,114925,2179584,1f0525573a6f25e2de68096cb7dbbf28ae96a165488acf07f6393965b910d185
case_002,5,original,5,selective_phase_band_critical_path_x2_a5_eft,partition,,False,success,False,171344,5288448,cd204a5dbebadcbd4fb8e68d0dce433613bd90c7376d718fe08b06c78cbdccc4
case_002,5,original,6,selective_phase_band_stable_id_x1_a5_eft,partition,,False,success,False,114925,2179584,a114fa37386244a17793cac5501d931aaea38031ed55135023c104cdb3c3e7bb
case_002,5,original,7,selective_phase_band_stable_id_x2_a5_eft,partition,,False,success,False,171344,5288448,3771234d81b50aa79a7cffece5352e01ab3001b83f0fa7e11bb4d8159d64acb7
case_002,5,original,8,selective_phase_band_critical_path_x1_a5_balanced,partition,,False,success,False,116663,2179584,bf26862274b0bfae5ef4a93cfbd225d0d9a97b0509bce99f25658e167209f43c
case_002,5,original,9,merge8,task_refine,,True,success,False,86577,2176512,79f322a2e5cef298e5e7ab01d20ee0c9ba9d9e2485106d87bf1ec05962e31996
case_002,5,original,10,merge16,task_refine,,True,success,False,78244,2165760,3a7757af41a14eba55213da6d68ff9ba3f5ea346859145d0476692b793959582
case_002,5,original,11,local_duration,task_refine,,False,success,False,114978,2179584,974094c475364d2bb5c505cac4b23b02d724e9c039a42215c2996977b53b478f
case_002,5,original,12,observed_duration,task_refine,,False,success,False,114539,2179584,cf162952d4b4c63eee6772e5e7ece64f62d715820887c734fdf639866b91315a
case_002,5,single,1,wcc_start0_simple_a1_per_core_lpt_mv,component,0,True,success,False,261945,0,69dee48e5a3ef0157297f68628d0e190988babb2ca3ce8c1f6425282ae50e9e2
case_002,5,single,2,selective_whole_critical_path_x1_a5_eft,partition,0,False,success,False,261945,0,14f6610f669689f7dc835f20881ef75644c2c318d837f342742f777e6d400e58
case_002,5,single,3,selective_local_quantile_stable_id_x2_a5_eft,partition,0,True,success,False,154153,665088,35f71befc83ed1c4a13461c39ccd39326d138620d807df4214edb15cb8fdbfc7
case_002,5,single,4,selective_phase_band_critical_path_x1_a5_eft,partition,0,True,success,False,114925,2179584,1f0525573a6f25e2de68096cb7dbbf28ae96a165488acf07f6393965b910d185
case_002,5,single,5,selective_phase_band_critical_path_x2_a5_eft,partition,0,False,success,False,171344,5288448,cd204a5dbebadcbd4fb8e68d0dce433613bd90c7376d718fe08b06c78cbdccc4
case_002,5,single,6,selective_phase_band_stable_id_x1_a5_eft,partition,0,False,success,False,114925,2179584,a114fa37386244a17793cac5501d931aaea38031ed55135023c104cdb3c3e7bb
case_002,5,single,7,selective_phase_band_stable_id_x2_a5_eft,prefix_fallback,0,False,success,False,171344,5288448,3771234d81b50aa79a7cffece5352e01ab3001b83f0fa7e11bb4d8159d64acb7
case_002,5,single,8,selective_phase_band_critical_path_x1_a5_balanced,prefix_fallback,0,False,success,False,116663,2179584,bf26862274b0bfae5ef4a93cfbd225d0d9a97b0509bce99f25658e167209f43c
case_002,5,single,9,merge8,task_refine,1,True,success,False,86577,2176512,79f322a2e5cef298e5e7ab01d20ee0c9ba9d9e2485106d87bf1ec05962e31996
case_002,5,single,10,merge16,task_refine,1,True,success,False,78244,2165760,3a7757af41a14eba55213da6d68ff9ba3f5ea346859145d0476692b793959582
case_002,5,single,11,local_duration,task_refine,1,False,success,False,114978,2179584,974094c475364d2bb5c505cac4b23b02d724e9c039a42215c2996977b53b478f
case_002,5,single,12,observed_duration,task_refine,1,False,success,False,114539,2179584,cf162952d4b4c63eee6772e5e7ece64f62d715820887c734fdf639866b91315a
case_002,5,iterative,1,wcc_start0_simple_a1_per_core_lpt_mv,component,0,True,success,False,261945,0,69dee48e5a3ef0157297f68628d0e190988babb2ca3ce8c1f6425282ae50e9e2
case_002,5,iterative,2,selective_whole_critical_path_x1_a5_eft,partition,0,False,success,False,261945,0,14f6610f669689f7dc835f20881ef75644c2c318d837f342742f777e6d400e58
case_002,5,iterative,3,selective_local_quantile_stable_id_x2_a5_eft,partition,0,True,success,False,154153,665088,35f71befc83ed1c4a13461c39ccd39326d138620d807df4214edb15cb8fdbfc7
case_002,5,iterative,4,selective_phase_band_critical_path_x1_a5_eft,partition,0,True,success,False,114925,2179584,1f0525573a6f25e2de68096cb7dbbf28ae96a165488acf07f6393965b910d185
case_002,5,iterative,5,selective_phase_band_critical_path_x2_a5_eft,partition,0,False,success,False,171344,5288448,cd204a5dbebadcbd4fb8e68d0dce433613bd90c7376d718fe08b06c78cbdccc4
case_002,5,iterative,6,selective_phase_band_stable_id_x1_a5_eft,partition,0,False,success,False,114925,2179584,a114fa37386244a17793cac5501d931aaea38031ed55135023c104cdb3c3e7bb
case_002,5,iterative,7,selective_phase_band_stable_id_x2_a5_eft,prefix_fallback,0,False,success,False,171344,5288448,3771234d81b50aa79a7cffece5352e01ab3001b83f0fa7e11bb4d8159d64acb7
case_002,5,iterative,8,selective_phase_band_critical_path_x1_a5_balanced,prefix_fallback,0,False,success,False,116663,2179584,bf26862274b0bfae5ef4a93cfbd225d0d9a97b0509bce99f25658e167209f43c
case_002,5,iterative,9,merge8,task_refine,1,True,success,False,86577,2176512,79f322a2e5cef298e5e7ab01d20ee0c9ba9d9e2485106d87bf1ec05962e31996
case_002,5,iterative,10,merge16,task_refine,2,True,success,False,78012,2158080,15b5b94b7449b92db8b9644385d45b28f6e4f58bb47ddae9407b0dce47f1e3a1
case_002,5,iterative,11,local_duration,task_refine,3,True,success,False,67673,2158080,d5fb50adf8b33c3f586bc98b0a691007e51ea127b351f06716f3fb2dc2843341
case_002,5,iterative,12,observed_duration,task_refine,4,True,success,False,67360,2158080,e20af0c676b0ae6c15b7280c179d55a7f18f413cb50cb7f681668c97a06fb5f4
case_043,4,single,1,wcc_start0_simple_a4_per_core_lpt_mv,component,0,True,success,False,269194,648200,2f5629d2f912ba41c59f19552f60a5b2820d31252394e556d40d1b8e61d5073b
case_043,4,single,2,wcc_task_4_mv_complement_batch2,component,0,True,success,False,269193,1198080,d18ea3b64c918bbccb2a5b43c560554035a4f380512c2b5fc3e2acc715632ff9
case_043,4,single,3,wcc_start0_affinity_a4_per_component_w15,component,0,False,success,False,269193,2257920,5fe22ab27c88a9db0c30a35eb02d35023cd17b21ed3911a1f721f682843a97ca
case_043,4,single,4,selective_whole_critical_path_x1_a4_eft,partition,0,False,success,False,269193,2257920,f3feaa534f8b6658af696fd324e540ab21fd9db6f564e337e4e09153f45ae987
case_043,4,single,5,selective_local_quantile_stable_id_x1_a4_eft,partition,0,True,success,False,266766,2819424,d70384bf1402ab14a63d156dc7668e3e6eafe867b1a2eecdde56d62b08335774
case_043,4,single,6,selective_phase_band_critical_path_x2_a4_eft,partition,0,True,success,False,243410,4083474,7b7343f18c2505c1400327dd8bf64f7dbea9badce7a6178576192b9aa8eebd77
case_043,4,single,7,tensor4096_cheap256_active4,tensor,0,False,success,False,247208,4764960,344a5a1925a2e0c00666606076031169ccde278e47022720f201d539332856ec
case_043,4,single,8,selective_local_quantile_stable_id_x2_a4_eft,prefix_fallback,0,False,success,False,267271,3526512,024050ab65dcfb168731b607c2613333324f5d8dca6434356ce9a621b0026827
case_043,4,single,9,local_duration,task_refine,1,False,success,False,244235,4083474,01822589a65c8fbcee91b1b63633e187cd6b70a9a10cd06bcae2dd6d56719085
case_043,4,single,10,observed_duration,task_refine,1,True,success,False,243378,4083474,564e0279e6a4b5f357ff6d074060ca50a9305a90aead5f47ba16154cf7e12743
case_043,4,single,11,split1024,task_refine,1,False,success,False,244500,4126792,a629ae1d55607c506f58050508cacd66de600ced35aed766ff0f6cdda75aca71
case_043,4,single,12,split512,task_refine,1,False,success,False,247991,4647388,f746282a649ee0913eed28013bca060e1059dc50b175936c4485b4a1aa1e3067
case_043,4,iterative,1,wcc_start0_simple_a4_per_core_lpt_mv,component,0,True,success,False,269194,648200,2f5629d2f912ba41c59f19552f60a5b2820d31252394e556d40d1b8e61d5073b
case_043,4,iterative,2,wcc_task_4_mv_complement_batch2,component,0,True,success,False,269193,1198080,d18ea3b64c918bbccb2a5b43c560554035a4f380512c2b5fc3e2acc715632ff9
case_043,4,iterative,3,wcc_start0_affinity_a4_per_component_w15,component,0,False,success,False,269193,2257920,5fe22ab27c88a9db0c30a35eb02d35023cd17b21ed3911a1f721f682843a97ca
case_043,4,iterative,4,selective_whole_critical_path_x1_a4_eft,partition,0,False,success,False,269193,2257920,f3feaa534f8b6658af696fd324e540ab21fd9db6f564e337e4e09153f45ae987
case_043,4,iterative,5,selective_local_quantile_stable_id_x1_a4_eft,partition,0,True,success,False,266766,2819424,d70384bf1402ab14a63d156dc7668e3e6eafe867b1a2eecdde56d62b08335774
case_043,4,iterative,6,selective_phase_band_critical_path_x2_a4_eft,partition,0,True,success,False,243410,4083474,7b7343f18c2505c1400327dd8bf64f7dbea9badce7a6178576192b9aa8eebd77
case_043,4,iterative,7,tensor4096_cheap256_active4,tensor,0,False,success,False,247208,4764960,344a5a1925a2e0c00666606076031169ccde278e47022720f201d539332856ec
case_043,4,iterative,8,selective_local_quantile_stable_id_x2_a4_eft,prefix_fallback,0,False,success,False,267271,3526512,024050ab65dcfb168731b607c2613333324f5d8dca6434356ce9a621b0026827
case_043,4,iterative,9,local_duration,task_refine,1,False,success,False,244235,4083474,01822589a65c8fbcee91b1b63633e187cd6b70a9a10cd06bcae2dd6d56719085
case_043,4,iterative,10,observed_duration,task_refine,1,True,success,False,243378,4083474,564e0279e6a4b5f357ff6d074060ca50a9305a90aead5f47ba16154cf7e12743
case_043,4,iterative,11,observed_duration,task_refine,2,False,success,False,243725,4083474,90cc69fc1529d99f4047f2f39334a2e8d38fc4223846565061ddab8201acc3ed
case_043,4,iterative,12,split1024,task_refine,2,False,success,False,244806,4126792,d2ee9e1541244941f5e1c39c0f122e042bc660d80f6fa8cb7295caa65a8232e2
case_043,4,original,1,wcc_start0_simple_a4_per_core_lpt_mv,component,,True,success,False,269194,648200,2f5629d2f912ba41c59f19552f60a5b2820d31252394e556d40d1b8e61d5073b
case_043,4,original,2,wcc_task_4_mv_complement_batch2,component,,True,success,False,269193,1198080,d18ea3b64c918bbccb2a5b43c560554035a4f380512c2b5fc3e2acc715632ff9
case_043,4,original,3,wcc_start0_affinity_a4_per_component_w15,component,,False,success,False,269193,2257920,5fe22ab27c88a9db0c30a35eb02d35023cd17b21ed3911a1f721f682843a97ca
case_043,4,original,4,selective_whole_critical_path_x1_a4_eft,partition,,False,success,False,269193,2257920,f3feaa534f8b6658af696fd324e540ab21fd9db6f564e337e4e09153f45ae987
case_043,4,original,5,selective_local_quantile_stable_id_x1_a4_eft,partition,,True,success,False,266766,2819424,d70384bf1402ab14a63d156dc7668e3e6eafe867b1a2eecdde56d62b08335774
case_043,4,original,6,selective_phase_band_critical_path_x2_a4_eft,partition,,True,success,False,243410,4083474,7b7343f18c2505c1400327dd8bf64f7dbea9badce7a6178576192b9aa8eebd77
case_043,4,original,7,selective_local_quantile_stable_id_x2_a4_eft,partition,,False,success,False,267271,3526512,024050ab65dcfb168731b607c2613333324f5d8dca6434356ce9a621b0026827
case_043,4,original,8,selective_phase_band_critical_path_x1_a4_eft,partition,,False,success,False,284672,2951316,46422af93e1aa1beaab86bc83ae8666d787b571176842013234994c54b16a277
case_043,4,original,9,tensor4096_cheap256_active4,tensor,,False,success,False,247208,4764960,344a5a1925a2e0c00666606076031169ccde278e47022720f201d539332856ec
case_043,4,original,10,local_duration,task_refine,,False,success,False,244235,4083474,01822589a65c8fbcee91b1b63633e187cd6b70a9a10cd06bcae2dd6d56719085
case_043,4,original,11,observed_duration,task_refine,,True,success,False,243378,4083474,564e0279e6a4b5f357ff6d074060ca50a9305a90aead5f47ba16154cf7e12743
case_043,4,original,12,split1024,task_refine,,False,success,False,244500,4126792,a629ae1d55607c506f58050508cacd66de600ced35aed766ff0f6cdda75aca71
case_025,5,iterative,1,wcc_start0_simple_a5_per_component_lpt_mv,component,0,True,success,False,1757768,73681920,8a60ea965ce7e1cac5fe5219591a08644cd987c614b3afbc005369e959dd8575
case_025,5,iterative,2,wcc_task_4_mv_complement_batch2,component,0,True,success,False,976752,248832,11de4a25ad2376425ff4a2f64809c14bc25d7aa1d72276996f3863ba3de277f3
case_025,5,iterative,3,wcc_start0_simple_a5_per_core_lpt_mv,component,0,True,success,False,975282,110592,e48afe849dfcd61d22619e886a0e31c2903b11b87250ea3d3be4386f585119c7
case_025,5,iterative,4,local_duration,task_refine,1,False,success,False,975282,110592,9644c629b94aa397d961e87544adc53c0e8f54650dbd03910423d4c771f146c5
case_025,5,iterative,5,split1024,task_refine,1,False,success,False,979692,525312,0357c906bf5aa7635e9e97a2b381c9508ecc863c4aad07dc99ddb0ce68c27c8a
case_025,5,iterative,6,split512,task_refine,1,False,success,False,985572,1078272,55a0330853739b32ce92f7f1d8a803725df2df4e9f1d90b1cba67ffa62efa027
case_025,5,original,1,wcc_start0_simple_a5_per_component_lpt_mv,component,,True,success,False,1757768,73681920,8a60ea965ce7e1cac5fe5219591a08644cd987c614b3afbc005369e959dd8575
case_025,5,original,2,wcc_task_4_mv_complement_batch2,component,,True,success,False,976752,248832,11de4a25ad2376425ff4a2f64809c14bc25d7aa1d72276996f3863ba3de277f3
case_025,5,original,3,wcc_start0_simple_a5_per_core_lpt_mv,component,,True,success,False,975282,110592,e48afe849dfcd61d22619e886a0e31c2903b11b87250ea3d3be4386f585119c7
case_025,5,original,4,local_duration,task_refine,,False,success,False,975282,110592,9644c629b94aa397d961e87544adc53c0e8f54650dbd03910423d4c771f146c5
case_025,5,original,5,split1024,task_refine,,False,success,False,979692,525312,0357c906bf5aa7635e9e97a2b381c9508ecc863c4aad07dc99ddb0ce68c27c8a
case_025,5,original,6,split512,task_refine,,False,success,False,985572,1078272,55a0330853739b32ce92f7f1d8a803725df2df4e9f1d90b1cba67ffa62efa027
